ch1,ch2
0,0
-3452,32764
-14568,32764
-23576,32764
-28292,32764
-28432,32764
-29728,32764
-27040,32764
-23572,32764
-18064,32764
-15972,25352
-10864,-15500
-4496,-32768
-5096,-32768
1280,-32768
4716,-32768
9476,-32768
10736,-32768
10080,-32768
11248,-32768
13920,-32768
15208,-32768
15100,-32768
15848,-32768
13936,-32768
12520,-32768
11260,-32768
12272,-32768
13812,-32768
11232,-32768
9444,-32768
10600,-32768
10080,-32768
10864,-32768
8572,-32768
7920,-32768
7924,-32768
6800,-32768
8164,-32768
7396,-32768
7144,-32768
5740,-32768
6008,-32768
4604,-32768
4840,-32768
4468,-32768
4340,-32768
3696,-32768
4332,-32768
4980,-32768
5236,-32768
3808,-32768
3040,-32768
4248,-32768
4124,-32768
3472,-32768
4336,-32768
4344,-32768
3424,-29592
2936,-27420
3316,-27028
3044,-26388
3196,-24724
2704,-23324
2408,-22404
2452,-21740
2932,-20872
2828,-20716
2924,-19976
1940,-19332
1424,-19716
2040,-19204
2916,-19600
1564,-18584
2420,-16780
916,-18792
1776,-18572
2548,-17164
1272,-17412
1412,-17164
2016,-16416
1776,-16520
2424,-15900
1024,-15516
532,-16388
1932,-15516
740,-14496
1916,-14232
492,-13924
352,-12900
1636,-12916
668,-11664
388,-12296
772,-12524
636,-11024
-28,-11536
252,-11028
-252,-11656
768,-11660
276,-10876
-248,-10008
252,-10136
404,-11380
144,-9736
-792,-8348
-236,-9860
-520,-9220
-160,-8988
-4,-8708
-772,-8080
-264,-9356
124,-8208
-1160,-7664
-660,-8576
-664,-8344
-376,-8940
-12,-7436
-1040,-6404
-1140,-7148
-1268,-6812
-264,-6664
-928,-6516
-1312,-6156
-876,-6532
-1288,-5792
-1148,-5648
-792,-5888
-1904,-5272
-920,-6292
-2148,-5772
-900,-5244
-1156,-4376
-2712,-4744
-1556,-5404
-1296,-4364
-1384,-4460
-1272,-4384
-2336,-3596
-2280,-3464
-1416,-4356
-1300,-3564
-1788,-2672
-2704,-3600
-2456,-3724
-1768,-3340
-2068,-3612
-2204,-3308
-1404,-2964
-2672,-2068
-2440,-2176
-2060,-2664
-2440,-1816
-1924,-1764
-2204,-2328
-1908,-1932
-2464,-1812
-2276,-1904
-2060,-1688
-2708,-2028
-1684,-2152
-2208,-1696
-2532,-1564
-2704,-1288
-2056,-540
-2200,-1420
-2056,-892
-2976,-24
-3092,-1512
-2720,-904
-2572,-388
-1812,-276
-2328,4
-2804,-408
-2928,-520
-2320,-488
-2716,-280
-1800,100
-2204,256
-2976,-160
-2716,628
-2696,-24
-2932,528
-2080,1000
-2844,-4
-1812,636
-3080,1648
-2976,1528
-2572,372
-2840,612
-2844,900
-2572,1520
-3080,2144
-2716,996
-2720,892
-2708,616
-2452,524
-2560,2280
-2960,2292
-2584,2680
-3172,2148
-2556,1268
-2316,1920
-2576,2204
-2920,1900
-2820,1788
-2172,1660
-3080,2160
-2456,2804
-1544,2584
-3084,1408
-2704,2020
-2572,2532
-2720,3056
-2312,2416
-2564,2156
-2804,2940
-2440,3340
-2964,2408
-2184,2940
-3056,3824
-2684,3224
-2196,2716
-2676,3068
-3196,3064
-2456,3084
-2940,3180
-2452,2400
-2024,2920
-3220,3172
-2564,2680
-1824,3172
-3072,3936
-2704,3184
-2080,3440
-2568,3092
-1820,3564
-3104,3444
-2280,3180
-1680,4068
-2828,4488
-2976,4068
-2588,4376
-2328,3044
-3304,3724
-1516,4076
-2796,3172
-2460,4212
-1812,4340
-2848,3824
-2464,4076
-2464,3692
-2316,4996
-2448,3844
-2560,3836
-2716,4872
-2196,3820
-2328,4372
-2204,4576
-2328,3984
-2568,5232
-3076,5088
-2720,4348
-1944,4844
-1820,5244
-2964,5224
-2916,4588
-1900,4092
-1940,4212
-2440,5244
-2200,4852
-1312,4592
-3076,4728
-2320,4452
-2064,4084
-2692,4344
-1420,4976
-1568,5380
-2832,4452
-1652,3960
-2280,4596
-2700,4712
-2324,5752
-2180,4464
-2068,5640
-2296,5244
-1684,4372
-2196,6388
-1668,4220
-2696,4844
-1556,5624
-2316,4472
-2332,5100
-1680,5488
-2284,4764
-1400,4376
-1696,4988
-2436,5368
-1928,4972
-1276,4856
-1692,5348
-2188,5348
-1428,5092
-1028,4964
-2308,5236
-2448,4764
-2204,3948
-1800,4988
-1388,4836
-1432,5100
-2208,4860
-1696,4988
-672,5752
-2300,4748
-1568,3940
-1056,5988
-1944,6008
