ch1,ch2
0,0
-3612,32764
-14716,32764
-23044,32764
-28404,32764
-29960,32764
-29584,32764
-28020,32764
-24076,32764
-18836,32764
-16156,25596
-10768,-14608
-3980,-32768
-4640,-32768
236,-32768
5228,-32768
9624,-32768
11756,-32768
9976,-32768
11124,-32768
13684,-32768
15336,-32768
14980,-32768
14988,-32768
14064,-32768
12036,-32768
10864,-32768
12176,-32768
13548,-32768
13076,-32768
9460,-32768
10512,-32768
11240,-32768
10340,-32768
9100,-32768
7696,-32768
7664,-32768
7164,-32768
7832,-32768
7904,-32768
6896,-32768
6008,-32768
6028,-32768
4200,-32768
4216,-32768
5624,-32768
4212,-32768
3592,-32768
4836,-32768
4884,-32768
4340,-32768
3572,-32768
3836,-32768
4216,-32768
3952,-32768
3704,-32768
3584,-32768
3572,-32516
3324,-29544
3064,-28044
4320,-26528
2412,-25616
2284,-24976
3580,-24472
2676,-22812
2928,-21392
3452,-21232
2544,-20508
1916,-19736
2536,-20108
2460,-19996
2668,-19588
1504,-19972
2412,-19728
2276,-19072
1504,-18700
1892,-17440
1892,-16532
1648,-16280
1404,-16516
1796,-16280
1176,-16144
896,-15384
1776,-15372
1520,-14960
496,-15000
1420,-14496
500,-13704
1180,-13808
868,-12448
504,-13852
1376,-12792
368,-12048
748,-12448
376,-11920
508,-11796
240,-11936
16,-12168
1136,-11536
152,-10780
-664,-10492
500,-10516
-24,-10376
628,-10480
-372,-9744
-156,-8680
-524,-8588
-512,-8812
-392,-8184
-660,-8608
252,-8604
-524,-8812
-32,-8164
-652,-7324
-1556,-7192
-656,-7708
-1004,-7816
-404,-7284
-528,-6668
-1564,-7180
-896,-6796
-748,-6532
-1508,-6428
-1412,-5888
-772,-6296
-1180,-5744
-1544,-5780
-1420,-5636
-1540,-5396
-924,-5376
-652,-5404
-1676,-5144
-1780,-5272
-1944,-4484
-1680,-4220
-1308,-5232
-1764,-4128
-1056,-3480
-1804,-4888
-1812,-3432
-1676,-3356
-1812,-3228
-2180,-4108
-2696,-4204
-1008,-2180
-2304,-3348
-2972,-3848
-1660,-2968
-2328,-2956
-1288,-2844
-2072,-1784
-2336,-1416
-2336,-3440
-1784,-1900
-2028,-900
-2564,-2204
-1796,-1540
-2788,-1928
-2956,-1680
-1552,-2076
-2308,-1312
-2536,-652
-2324,-612
-2200,-1544
-2280,-1912
-1920,-1184
-3080,-140
-3092,-524
-2060,-1024
-2332,380
-2056,-624
-2576,-496
-2660,-12
-2460,-136
-2704,-24
-2824,-772
-2848,-524
-1788,380
-3440,620
-2280,-404
-2308,748
-2808,644
-2432,636
-3196,524
-1784,-248
-2700,1120
-2824,1276
-3316,776
-2568,1144
-2548,492
-2412,1152
-2576,1140
-3356,772
-2580,1396
-2192,620
-2188,-364
-3204,1520
-2456,2288
-2208,2024
-3076,1772
-2564,1504
-2332,2040
-2180,2404
-3224,2332
-3180,2924
-3072,2668
-2564,1648
-2080,2932
-2788,2420
-2580,2048
-2464,3056
-3484,2676
-2536,1904
-2284,2420
-2680,2460
-2044,2412
-3076,3940
-2796,2936
-1676,2540
-2816,2684
-2712,3576
-3336,3580
-2964,2684
-2044,3188
-2436,2784
-2916,2152
-2960,3552
-2192,3860
-2828,3812
-2284,3068
-2964,2572
-2204,3936
-2924,2912
-2588,3068
-2440,4196
-2436,3816
-1824,3352
-2960,4072
-2076,4068
-2800,4080
-2816,3816
-2972,3180
-2584,3696
-2208,4448
-2812,3180
-1932,4064
-2692,3708
-1924,4460
-2940,4856
-2536,2680
-2200,4080
-2660,4348
-2312,4844
-2576,4592
-2168,3828
-2328,4468
-2204,4084
-2424,4244
-3076,4844
-1944,4200
-2148,4708
-3100,4636
-1804,4708
-2404,4360
-3088,5112
-2040,4452
-1928,4588
-2336,4960
-1948,4240
-2204,4468
-2320,4460
-2056,5224
-2188,5100
-3332,3940
-2044,5480
-2304,4964
-2408,3964
-2040,4456
-1808,4712
-2672,4852
-2540,4868
-1680,4848
-2044,5472
-2284,5224
-2076,4840
-2332,5616
-2320,5652
-2072,5092
-2840,4584
-1912,5660
-2328,5100
-1936,3968
-2052,5216
-2188,4576
-1816,4324
-2068,4960
-772,5224
-2208,6652
-1928,4844
-1948,5348
-2444,4856
-1004,4736
-1412,5984
-2460,4476
-2336,4716
-904,5240
-2072,4872
-2452,4716
-1692,4484
-1440,5472
-2032,4732
-1384,5228
-2032,4872
-1300,4880
-1808,5500
-2032,5232
-1672,5732
-1640,4724
-1296,5244
-1692,5144
-1292,5232
-1308,4960
-2312,4636
-1900,5232
-672,5228
-1268,5392
-2152,5344
-1312,4848
-1256,5088
-1912,4704
-1424,5108
-1308,6144
-1552,5136
-1560,6044
-928,4488
-544,5004
-1420,5216
-1556,4732
-1036,5496
-1648,4600
-1544,4088
-792,4976
-1796,5508
-1312,4088
-1804,4984
-1052,5628
-108,3952
-636,5372
-1820,6120
-1556,5012
-656,4832
-516,5752
-1676,4884
-1136,5484
-880,5520
-2076,4872
-640,5228
-1420,4448
-744,4840
-544,5012
-1268,4856
-28,4344
-1056,5364
-1688,5344
-408,4236
-1144,4988
-1428,5224
-396,4968
-900,4996
-752,4836
-784,4980
-664,3836
-412,5092
-904,5496
-1028,4452
-1288,5228
-1160,3956
-672,4704
-652,5728
-532,4600
-1048,4468
248,5216
-1180,6008
-1184,4448
484,4588
-1164,5756
-1180,5220
-156,4968
-628,4596
-1764,4084
-412,4980
-284,4480
-1008,4468
-1392,3704
-384,3688
-276,5112
-280,4344
-516,5248
-144,5364
-784,4704
16,4596
-1052,4212
-800,4888
124,4960
-800,4192
-540,3856
-1004,4988
248,4832
-392,4840
-648,5020
-4,4720
-780,4448
-400,4068
-20,4988
-784,4616
-392,5268
-248,4620
-1036,5104
508,3560
-20,4112
-660,4376
-520,3944
-388,4120
480,4364
-1252,4976
264,4508
-528,3696
-516,4456
-280,4088
-752,4220
644,5004
-488,3836
-144,3572
916,4220
-800,3940
8,4720
228,4856
-1308,4712
-488,4704
792,3428
376,4092
-140,4212
-260,4356
116,4220
-648,4452
-148,4220
0,4068
240,4836
-532,3172
-4,3680
1172,3948
-668,4476
-280,4960
644,3684
-520,3356
364,4460
120,3688
-4,3472
396,3584
-360,4340
100,4464
400,4100
116,4456
124,3556
484,4340
116,3832
-268,3708
-384,3704
744,4100
-664,3568
256,4212
496,4216
104,3696
-144,3684
500,4080
112,3328
224,2788
396,4244
-112,3844
-144,3304
1004,3936
484,4196
-4,3340
-404,3832
252,2676
1252,3096
616,4236
-416,3680
612,3948
-660,4324
-532,3044
520,3340
268,3172
388,2844
608,3700
4,3552
120,3456
744,3308
-28,2916
380,3296
876,3740
1128,3936
4,3172
-136,3344
376,3704
112,3044
736,2196
-400,3324
280,3708
624,2532
120,4492
-132,3812
748,2820
1032,2940
488,2820
352,4068
264,3964
-264,2064
1528,3220
252,3068
136,2324
880,2960
28,2144
156,2656
156,2944
-148,2796
392,3168
1020,3688
1012,2924
492,3452
-276,3580
232,2568
652,2528
248,2684
244,3480
612,1388
788,1800
132,2552
236,2292
-152,2564
496,2276
1524,3308
112,2684
608,1888
1044,2928
24,4076
-388,3680
1296,2540
740,2420
96,2656
792,2532
112,2800
736,2804
-12,2428
412,1668
1516,2532
104,1768
116,1128
1388,2840
-496,2180
540,1672
756,2684
484,2288
1156,2200
1004,2408
-152,2172
624,3096
1268,2532
752,2532
484,2824
760,2044
404,1948
612,2424
612,2040
380,2788
524,1528
624,1760
1032,1896
884,1652
356,2300
1124,2304
616,1388
1040,2428
236,2156
236,2536
136,2536
756,1808
876,2076
-24,1892
896,1892
992,1380
376,1376
