ch1,ch2
0,0
-3216,32764
-15000,32764
-22888,32764
-28056,32764
-29452,32764
-28788,32764
-28268,32764
-23572,32764
-18584,32764
-16008,24060
-10264,-14220
-4504,-32768
-4488,-32768
888,-32768
4324,-32768
9572,-32768
11768,-32768
9752,-32768
10872,-32768
13948,-32768
14316,-32768
14844,-32768
15736,-32768
13800,-32768
11540,-32768
11128,-32768
12688,-32768
13552,-32768
11628,-32768
10236,-32768
10600,-32768
11372,-32768
10596,-32768
9104,-32768
7656,-32768
7064,-32768
7836,-32768
7520,-32768
7800,-32768
7288,-32768
5896,-32768
5996,-32768
5232,-32768
4476,-32768
4876,-32768
3808,-32768
4496,-32768
4968,-32768
3564,-32768
3832,-32768
4712,-32768
4072,-32768
3936,-32768
3576,-32768
4092,-32768
4212,-32768
3192,-32660
3808,-29180
2564,-28404
3356,-27024
3452,-26120
3424,-25628
3096,-22168
2284,-22796
2936,-21784
3052,-20460
2184,-20500
2016,-20128
2812,-19844
2796,-19360
1540,-19728
2028,-19720
2536,-18704
1668,-18316
2036,-18080
2172,-17792
1268,-17692
2068,-16792
1528,-17292
1428,-16536
1520,-15892
1144,-15628
1048,-15644
1680,-16160
1156,-14960
752,-14600
1000,-13984
500,-13324
608,-13184
1012,-12572
624,-13308
756,-12444
748,-12428
480,-11124
232,-11000
-4,-11296
620,-11524
-12,-11796
260,-10984
880,-10008
-144,-11040
-16,-9704
-360,-8600
-672,-9760
104,-9476
-8,-9108
-1052,-9628
100,-8732
-112,-8580
-404,-8992
-136,-8180
-1168,-9616
-508,-8812
-792,-7788
24,-8196
-908,-6924
-500,-7172
-776,-6300
-872,-6532
-1560,-6928
-1312,-6432
-652,-6128
-1548,-5488
-1156,-5920
-1296,-6664
-1132,-5780
-644,-5276
-1684,-5512
-1808,-5624
-1804,-5644
-1052,-4868
-1300,-4844
-1428,-5008
-1920,-4852
-1036,-4100
-1440,-3980
-2672,-4992
-1044,-3208
-1684,-4252
-1804,-3360
-2188,-2412
-2072,-3948
-1688,-2820
-2076,-3976
-1644,-3224
-1948,-3348
-2296,-3812
-2436,-2700
-1932,-2324
-2564,-2156
-2048,-2308
-2812,-2684
-1948,-2284
-1540,-2156
-1812,-2440
-1900,-1652
-1648,-1132
-3184,-1296
-2804,-1568
-2312,-672
-2332,-1436
-2464,-1172
-2932,-1384
-2328,-1056
-1768,-516
-2824,-1528
-2444,-904
-2188,380
-2584,-924
-2072,-132
-2716,-500
-2312,152
-2848,528
-3104,-1276
-1544,-272
-3216,-528
-2536,380
-2960,108
-3480,376
-2328,1656
-2920,104
-2196,112
-2536,1768
-3228,276
-2704,624
-2068,1396
-2668,488
-2720,-140
-2156,1424
-3100,2024
-3044,-544
-2848,380
-2324,1632
-1804,540
-3352,1504
-3216,1276
-2448,1692
-2712,1780
-2592,2076
-2580,1652
-2936,2188
-2064,3220
-3356,2548
-3100,1256
-1952,2796
-1952,2544
-3104,1764
-2832,2308
-1656,2168
-2676,2412
-3104,1788
-2844,2292
-2300,3052
-2840,2788
-2696,3228
-2844,2324
-2300,2672
-2580,3356
-2336,2552
-3084,3308
-3336,1892
-1512,2800
-2316,3436
-3336,3068
-2072,2932
-2308,3964
-2304,3580
-3468,2276
-2548,3572
-2312,3336
-2588,3308
-2692,3476
-2688,3860
-2576,3680
-2204,3552
-2184,3332
-2424,3296
-2444,4324
-2848,4076
-2692,3564
-2308,4240
-2676,3568
-2432,3688
-2668,4576
-2824,4212
-2672,3316
-2072,4216
-2424,4592
-2936,4720
-2588,4580
-1948,3976
-2196,4100
-2676,4204
-2692,3984
-2196,3836
-2440,3708
-2208,4844
-1684,4064
-2580,4204
-2952,3572
-2060,3680
-1804,5492
-2064,5392
-3464,5112
-2440,4856
-1416,4852
-2716,5116
-2208,4708
-1044,5356
-3088,4072
-2452,3948
-1928,4988
-2696,4320
-2304,4484
-1892,5240
-2704,4192
-1928,4848
-2588,5604
-2436,5104
-1668,3968
-2200,5228
-2456,5532
-2080,4732
-1136,4892
-2444,4976
-2052,5652
-2464,5620
-1812,4728
-1816,4836
-2584,4460
-1816,4340
-1812,5400
-2052,5100
-1936,5532
-1672,5364
-1820,5092
-2176,4844
-2160,5088
-2692,4988
-1180,5136
-1440,5264
-2568,5364
-2036,5344
-1668,5260
-1172,4116
-1804,4864
-2320,5388
-1180,3816
-2312,4324
-772,4636
-1908,5220
-1696,5380
-1176,5616
-1932,4604
-1672,4972
-1420,5480
-1300,5372
-1548,5344
-1696,5252
-1684,4960
-1696,5756
-1516,5884
-2204,5524
-1028,5092
-1056,4616
-1804,5364
-1292,5012
-2184,5232
-1296,5600
-1276,5092
-1824,5228
-1312,4980
-1688,4220
-1304,5356
-672,5360
-1816,5108
-892,4732
-1184,5116
-1436,4852
-1036,5016
-1432,4484
-776,4860
-1000,4988
-1784,5092
-1692,5484
-400,6124
-2576,4228
-140,5364
-1052,5860
-1300,5092
-152,4720
-1812,4600
-672,5612
-1892,6044
-784,4732
-1156,4600
-1308,4752
-612,4728
-1532,5244
-1668,4452
-488,4856
-648,4576
-1668,5100
-156,5228
-376,5484
-1160,5484
-1132,5092
-904,4844
-1028,5620
-1432,5252
-920,4880
-668,4340
-620,4596
-1180,5240
-1160,4120
-248,3424
-1152,5004
-1016,4728
-240,5356
-1040,5364
-392,5220
-272,5104
-1184,3832
-12,4968
-268,4716
-160,4576
-916,5660
-1568,4332
-920,4216
-1256,4328
-516,3944
-792,5480
-668,4724
-652,4616
-1184,4732
-356,5100
-508,4972
-256,4968
-788,4596
-372,4988
-1180,3948
-160,4452
-412,5476
-404,4212
-8,4972
-900,4720
-488,4832
-400,3992
-640,4340
-104,4348
-276,4588
-668,4492
-28,4084
-532,4448
-140,4196
132,4588
-28,5112
-264,4324
-616,4724
-528,3724
140,4724
-1172,5516
-408,3832
-288,4092
-240,4592
496,3332
-408,4504
376,4212
224,3808
-796,4336
-392,4736
-544,4352
492,4452
124,3832
-144,3936
-276,4216
-260,4752
-380,4216
-408,4200
632,4892
-1036,3428
360,4084
-412,4884
120,4340
624,4448
-772,4332
244,3824
480,4888
-156,4348
-288,3580
-148,3556
-136,4340
792,4712
232,3832
-1004,3832
352,3984
-20,4076
-24,2180
608,3700
632,4324
-4,3440
-152,4852
532,4728
772,3224
120,3980
132,4116
412,4096
-532,3452
-620,3680
512,3808
360,4072
784,3600
-388,3736
-372,3736
280,4064
28,3852
-264,2972
748,4068
360,4340
96,4320
-24,4604
616,3220
388,3464
228,4064
112,3960
112,2940
140,2164
24,3708
-20,3560
484,3296
520,3188
252,2960
-536,3936
524,3564
232,3344
504,4208
252,3820
240,3048
1000,3704
-484,3708
-280,3960
736,2956
792,3172
-152,3444
-132,3440
-28,2332
768,2672
508,3564
124,2548
792,2912
-136,3084
868,3476
152,3048
-132,3088
912,4320
240,3576
112,2784
368,3352
368,2924
608,2944
-32,2660
740,2572
248,2792
412,2404
608,2836
752,2444
876,3180
624,3308
-4,3064
384,2708
368,3356
116,3056
632,3560
-28,3220
-148,2940
132,3444
788,2176
756,2044
372,2180
740,2172
1396,2420
4,2168
228,2076
888,2684
-140,2544
748,2404
252,3196
124,2664
504,2168
1636,2812
408,2292
740,3348
632,2804
-108,1128
1376,2164
236,2276
740,2300
660,3316
-536,2036
632,2684
868,2668
756,2312
628,2272
380,2400
764,2148
248,1528
788,1788
892,2148
252,2048
888,1644
908,2556
100,2540
1040,1796
744,2572
744,2556
256,2200
524,2068
992,2280
884,2680
1404,2024
876,2060
352,2528
376,2028
116,2320
484,2184
120,2016
616,2548
1164,1380
352,2164
236,1276
1008,1800
748,2036
1248,1784
764,1532
488,1644
1248,2024
-160,1644
788,2052
892,1780
284,2032
1544,2292
280,2048
-20,1044
1148,1532
232,1248
1052,1508
760,528
636,1796
636,2548
744,1300
1256,2028
124,1904
1392,2148
284,2272
1272,2016
772,1268
-268,1936
1516,1388
248,1760
364,1544
660,1888
520,1024
796,1548
484,1656
496,1784
756,1904
104,1648
372,2164
1908,1380
364,2300
1004,2024
108,1252
740,2064
612,1016
372,796
1528,748
268,1512
648,1532
1268,1140
252,1052
388,912
1172,536
360,1384
864,1760
252,1264
1120,1780
1272,1428
1008,872
1140,1140
28,748
612,736
1176,1388
532,1760
488,1516
752,1268
500,1268
992,2556
780,1660
244,1528
376,1780
1388,2164
488,2016
400,408
1260,1816
760,1908
252,668
1012,1016
760,352
1396,1264
-528,1000
792,400
1768,1516
-640,252
872,532
628,1124
744,1136
224,2420
540,868
1520,1176
368,2024
624,880
1136,1252
496,992
484,1640
632,620
528,1148
884,1276
792,268
740,508
356,652
624,280
736,628
1168,504
616,1548
-128,1136
744,752
1016,1552
532,884
1140,1276
772,1776
396,252
492,1396
240,232
1000,104
652,352
496,116
888,1792
240,404
376,1248
1128,1256
1272,748
1136,1260
608,1020
364,652
764,632
900,868
740,404
408,380
252,492
108,-144
2300,780
248,504
880,-260
616,532
756,648
876,124
96,248
1640,492
488,388
616,484
896,1948
144,412
872,360
-260,1132
532,504
232,236
1008,228
736,-24
280,736
656,480
228,-108
1120,244
760,536
1004,620
372,488
376,748
632,120
744,100
1144,376
360,248
880,608
760,780
508,-280
12,608
636,364
400,360
1388,264
504,-128
-12,508
1504,1120
748,100
484,-16
356,776
240,-764
1180,-288
480,608
1140,492
128,-508
640,-24
896,116
528,120
764,360
392,260
636,380
1644,-244
-148,1012
500,492
1032,660
4,264
384,-500
1004,96
628,404
480,-132
352,-140
1004,636
16,108
508,-928
736,-484
884,-660
256,480
736,-276
1044,-260
1000,1276
1036,492
-116,244
776,-404
624,492
488,736
892,232
636,-908
504,736
352,124
1260,-108
864,0
-280,-1052
1128,112
628,-264
508,244
996,112
624,264
1144,792
248,624
368,656
624,-4
628,-788
1132,96
528,-12
232,-508
276,380
1388,264
636,-668
244,124
-276,-644
1000,260
788,392
-32,236
656,-416
912,-788
756,1000
228,112
1008,-100
388,280
248,-156
24,-512
872,-288
1288,504
632,-636
628,-648
240,380
616,-104
636,-492
624,760
352,-156
272,104
1144,-160
1016,356
120,264
1016,-400
748,228
532,-660
360,-520
992,104
152,-152
-240,-264
876,-136
748,-660
284,-24
892,612
-4,244
616,-1040
1016,624
232,752
-232,-132
1124,668
744,-396
-996,252
512,272
492,-148
484,-488
248,104
1020,240
504,-544
240,-20
104,-16
748,240
612,-4
764,-536
484,376
896,-524
4,-16
520,-152
616,-616
-12,-408
1436,-784
-268,-276
-124,-384
920,228
140,624
352,-668
756,-380
644,360
368,388
252,-380
648,-284
760,124
360,252
412,228
864,-268
156,-544
224,-392
-24,244
636,-496
744,-280
876,144
360,-528
124,-268
-252,-520
992,-628
1260,-528
-116,-116
740,-272
752,244
100,636
636,-12
-24,-384
352,-648
12,-668
624,-924
760,-1180
376,-1052
1268,-156
380,-616
-284,-260
360,-484
504,-148
916,636
488,-792
124,-160
276,480
908,-408
