ch1,ch2
0,0
-3592,32764
-14864,32764
-22672,32764
-28048,32764
-29080,32764
-29712,32764
-27144,32764
-23800,32764
-18588,32764
-16524,24928
-11032,-16028
-2964,-32768
-4744,-32768
520,-32768
5148,-32768
9244,-32768
10976,-32768
10236,-32768
10772,-32768
14360,-32768
15472,-32768
13964,-32768
15480,-32768
14072,-32768
12164,-32768
11488,-32768
12284,-32768
14316,-32768
10976,-32768
9712,-32768
10888,-32768
10876,-32768
10504,-32768
8472,-32768
8040,-32768
7432,-32768
8056,-32768
7660,-32768
7012,-32768
7820,-32768
6516,-32768
5128,-32768
4448,-32768
4088,-32768
5276,-32768
4080,-32768
4328,-32768
4376,-32768
4100,-32768
5240,-32768
3952,-32768
3692,-32768
3960,-32768
3976,-32768
4252,-32768
4084,-32768
3312,-32500
3424,-29028
3192,-28560
3424,-27936
2944,-26124
3424,-24468
2664,-22936
2332,-22404
2180,-21784
3040,-20500
2964,-20124
2148,-19844
2556,-20376
2400,-19596
1944,-19608
2660,-19204
2164,-18184
1520,-18328
1936,-17816
1560,-17892
1764,-18436
2168,-18308
1776,-16536
2144,-15764
1636,-17048
1020,-16132
276,-15860
1176,-14852
1644,-15512
764,-14572
1396,-13844
1020,-13980
1168,-12944
628,-11920
28,-12440
864,-13068
884,-11288
228,-12192
480,-12268
484,-11888
372,-12568
668,-10760
-12,-10512
-416,-10384
-32,-9372
-796,-9204
244,-10608
872,-10224
256,-8860
-912,-9116
-132,-10012
8,-9476
-272,-8576
-644,-8556
-1044,-8856
-540,-8184
224,-8080
-908,-7912
-668,-8068
-1048,-8052
-788,-7544
-396,-7444
-660,-6688
-412,-5516
-1312,-6544
-1000,-6552
-928,-5872
-1672,-6544
-776,-5616
-1028,-5024
-2184,-5860
-920,-5604
-1432,-5508
-1648,-5904
-1892,-4996
-1180,-4252
-1816,-4844
-1552,-4840
-1396,-4848
-1312,-5024
-1820,-3588
-1800,-3820
-1680,-3980
-2168,-3356
-1948,-3864
-1552,-3344
-2184,-3720
-1908,-3456
-2312,-3200
-2148,-3604
-2324,-2080
-2448,-2828
-1940,-2024
-1940,-2460
-2068,-2952
-1544,-1412
-2696,-2284
-2584,-1696
-2056,-1540
-2704,-1548
-2072,-1680
-2336,-1768
-2048,-1640
-2696,-1692
-2692,-1692
-2040,-1796
-2684,-652
-2460,-1300
-2332,-1056
-2188,-364
-2804,-1308
-2276,-1532
-2064,20
-2956,-140
-2328,-364
