ch1,ch2
0,0
-3848,32764
-14216,32764
-23300,32764
-27912,32764
-29204,32764
-29560,32764
-27136,32764
-23940,32764
-18424,32764
-16160,25316
-10892,-15612
-4880,-32768
-3984,-32768
760,-32768
5100,-32768
9328,-32768
10608,-32768
11012,-32768
11112,-32768
13284,-32768
15600,-32768
14180,-32768
14816,-32768
14712,-32768
12264,-32768
11528,-32768
13156,-32768
12916,-32768
11640,-32768
10336,-32768
9832,-32768
11388,-32768
10876,-32768
8696,-32768
7940,-32768
7284,-32768
6920,-32768
7924,-32768
7576,-32768
6768,-32768
6392,-32768
6768,-32768
3736,-32768
4856,-32768
4608,-32768
4320,-32768
4608,-32768
4084,-32768
4724,-32768
4848,-32768
3192,-32768
4368,-32768
4460,-32768
2960,-32768
4456,-32768
3460,-32768
3172,-32768
4716,-29468
2144,-27140
3468,-27912
3952,-26380
2668,-23704
2956,-23584
2588,-23452
2296,-21512
2544,-20000
2544,-20628
2692,-19448
2164,-20476
3052,-19976
1772,-19208
1768,-19060
3064,-19056
1176,-18700
1636,-19220
2168,-18168
2300,-16148
1540,-16672
1176,-17300
2660,-15884
1392,-15868
632,-16668
1252,-16524
2156,-15512
1008,-14340
756,-14864
1388,-14112
364,-13576
536,-13036
1136,-12556
640,-12396
268,-12192
780,-12188
224,-12156
412,-11424
-4,-11804
148,-11276
372,-11260
224,-12172
-140,-10392
224,-10016
884,-11388
-624,-9748
492,-9876
876,-9972
-1048,-8728
-544,-8936
-504,-8460
-104,-8976
-356,-8580
-748,-8728
-544,-7420
-928,-7836
-520,-7840
-236,-7428
-904,-7560
-500,-7268
-664,-7684
-896,-6676
-1512,-5536
-740,-5528
-1428,-5656
-1892,-6556
-924,-6280
-1428,-6140
-260,-6420
-1020,-4752
-2316,-5648
-1164,-5488
-1648,-5648
-1408,-5784
-1676,-4240
-1788,-4892
-1688,-3592
-1516,-4484
-1284,-4608
-2184,-3596
-1664,-4632
-1816,-4488
-1912,-3212
-1640,-2836
-2196,-3456
-2312,-3464
-1912,-3596
-2592,-3476
-1804,-2820
-1552,-3204
-2192,-2668
-1296,-1936
-2172,-2444
-2572,-1948
-2592,-2824
-1944,-1804
-2404,-908
-2828,-1924
-2060,-1636
-2812,-2196
-2444,-2440
-1532,-2688
-2324,-1812
-1800,-760
-2564,-1304
-3228,-1300
-2304,-1936
-1804,-1036
-2832,-532
-2556,360
-2700,-416
-2328,-920
-2320,-148
-2316,-396
-2156,-288
-2708,120
-2416,248
-2696,-408
-2572,-660
-2712,-516
-2792,100
-2704,124
-2440,372
-1952,764
-3600,140
-2332,900
-2720,916
-2308,1272
-2204,1272
-3204,1012
-2792,1028
-3432,868
-2164,644
-2056,796
-3216,636
-2820,1516
-2836,508
-2188,876
-3304,1636
-2152,1776
-2456,3192
-3480,1892
-1948,1276
-2320,2572
-2564,2920
-3468,1764
-2668,2420
-2704,1780
-2540,2152
-2576,2820
-2800,2320
-2708,2288
-2972,1544
-1948,2424
-3216,2404
-2840,2408
-2064,2276
-2920,2544
-2948,2460
-2168,3580
-2952,3188
-2328,1820
-1948,2552
-2332,2964
-2972,2440
-2548,2784
-2828,3352
-3220,3692
-2064,3808
-2052,3580
-3104,3080
-2812,3564
-2940,2804
-2032,3564
-2316,3568
-3216,3080
-2184,3952
-2424,4588
-2424,3556
-2456,2528
-1556,3732
-3460,4508
-2800,3320
-1672,3580
-2592,4332
-3472,4200
-2804,3044
-1668,3580
-2308,4624
-2572,3860
-2440,4204
-2584,5092
-2668,4580
-2452,3556
-2160,4088
-2156,4488
-1668,3724
-2580,4344
-2920,4588
-2920,4124
-1952,4344
-2448,4328
-2952,4996
-2668,4856
-2192,3860
-2308,4324
-2316,4964
-2428,4204
-2284,4872
-2204,4108
-1560,4464
-2164,5512
-2452,4840
-2660,5356
-2692,4328
-1432,4092
-1900,4600
-2712,4460
-2048,4604
-1764,4756
-1948,5100
-3224,5096
-2456,4340
-2156,5388
-1684,5352
-2952,5472
-2052,5480
-2068,5272
-2436,5112
-1004,5096
-1944,4468
-1560,4580
-2060,4840
-2556,5100
-2176,5096
-2840,4728
-1432,5116
-2332,4968
-1764,4588
-1900,4708
-1692,5632
-1920,5116
-2148,4832
-2184,5216
-1136,4476
-1940,6288
-2156,5520
-1160,4728
-1796,4852
-2336,5524
-1556,5228
-1928,5128
-1652,5248
-1820,4608
-2056,4072
-760,5228
-1160,5364
-1796,5492
-1548,6004
-1696,4864
-1780,4728
-1148,5100
-928,5016
-1808,5348
-2080,5484
-1048,5496
-1800,3552
-416,4724
-1668,5984
-2064,4732
-788,4848
-2184,5244
-1276,5532
-1644,4704
-1384,5252
-796,5356
-1568,5372
-1440,5480
-1804,5484
-1160,5232
-1540,4612
-1952,4580
-1252,5620
-1676,5000
-748,4604
-1168,5116
-1292,4980
-752,5232
-1148,4728
-1680,4716
-288,5736
-672,5512
-2312,4968
-1396,5628
-772,5604
-1156,4844
-1044,5244
-892,5228
-876,4704
-796,4984
-1124,4320
-872,4212
-796,5252
-1156,4892
-1004,4508
