ch1,ch2
0,0
-3992,32764
-14740,32764
-22920,32764
-28300,32764
-29088,32764
-29572,32764
-28144,32764
-23544,32764
-19348,32764
-15496,25716
-9888,-17288
-4108,-32768
-3976,-32768
248,-32768
4992,-32768
8304,-32768
10744,-32768
12008,-32768
11520,-32768
12528,-32768
14560,-32768
14356,-32768
15200,-32768
13932,-32768
12392,-32768
12132,-32768
11756,-32768
12516,-32768
12788,-32768
11236,-32768
10340,-32768
11404,-32768
9224,-32768
8088,-32768
9572,-32768
7908,-32768
8332,-32768
7656,-32768
6804,-32768
5868,-32768
6124,-32768
6000,-32768
4708,-32768
4852,-32768
4332,-32768
5392,-32768
4856,-32768
3588,-32768
3560,-32768
4988,-32768
4344,-32768
3852,-32768
4468,-32768
3564,-32768
3068,-32768
4072,-32768
3980,-32768
3464,-29028
2576,-28432
3168,-27012
3836,-25224
2040,-25708
2920,-23528
3568,-22812
1908,-22160
2920,-20616
2800,-20380
2292,-20372
2668,-20620
2308,-19612
1672,-19224
2176,-19740
2536,-18464
1020,-18556
2680,-19228
2288,-18456
740,-17432
1520,-16232
2172,-16392
2028,-16260
1276,-16672
896,-16272
1640,-16020
1632,-15616
668,-14860
784,-14752
1300,-15076
492,-13848
496,-12792
1268,-13716
796,-12556
864,-12160
108,-12296
1288,-12572
532,-11888
116,-11540
152,-11780
408,-11416
-380,-11416
612,-11016
500,-10768
-12,-9604
-108,-9996
-152,-9876
-8,-8604
-408,-10216
-264,-9080
124,-9100
-908,-8720
-412,-8344
612,-8340
-868,-8308
-900,-7960
-780,-8320
-784,-8844
-756,-7956
-748,-7196
-160,-7192
-1560,-7064
-492,-7540
-788,-6016
-1176,-6040
-1032,-6292
-1260,-6540
-1040,-6172
-1792,-5792
-1160,-5664
-1416,-5744
-1268,-5244
-1288,-4588
-2280,-5024
-776,-5860
-888,-3968
-2568,-4228
-1952,-4228
-1416,-4072
-1652,-3432
-1908,-4252
-1784,-4124
-2068,-3852
-1160,-3984
-1692,-2952
-2552,-4228
-1420,-3972
-1548,-2328
-2464,-2580
-1948,-3988
-1560,-3724
-2328,-2336
-2068,-2824
-1808,-2436
-1936,-1820
-1952,-2184
-2708,-1696
-2080,-1548
-1808,-1648
-2296,-1024
-3076,-1820
-2028,-1816
-2032,-1564
-2572,-1416
-2036,-1548
-2580,-1412
-2460,-1380
-2452,-1036
-1928,-1276
-2580,-740
-2836,252
-2320,-524
-3352,376
-2052,-376
-2304,-880
-1936,1132
-3716,-244
-2720,-536
-2308,24
-2440,-12
-2840,12
-2452,116
-2180,100
-2836,252
-2828,996
-2928,764
-2788,752
-1812,1136
-2936,504
-2440,616
-2464,1520
-3484,1788
-2312,1276
-3056,1148
-2208,764
-2708,756
-3484,1260
-2692,1908
-2712,2324
-2184,1772
-2804,748
-2828,1644
