ch1,ch2
0,0
-3612,32764
-14316,32764
-24452,32764
-27424,32764
-28680,32764
-29168,32764
-27412,32764
-23700,32764
-19592,32764
-16020,25836
-9756,-16288
-4752,-32768
-4616,-32768
352,-32768
5372,-32768
8548,-32768
10600,-32768
11648,-32768
11024,-32768
12644,-32768
15352,-32768
15460,-32768
14720,-32768
13464,-32768
12388,-32768
11408,-32768
12640,-32768
13036,-32768
11508,-32768
11232,-32768
11024,-32768
10600,-32768
9976,-32768
8704,-32768
8052,-32768
8056,-32768
8672,-32768
7660,-32768
6908,-32768
6140,-32768
6028,-32768
5092,-32768
5864,-32768
4708,-32768
4212,-32768
5380,-32768
4856,-32768
4980,-32768
4204,-32768
3312,-32768
4068,-32768
4356,-32768
3952,-32768
3324,-32768
4348,-32768
3568,-32768
2916,-32768
2788,-29592
3040,-28040
3560,-25752
2796,-25488
2820,-25492
2456,-23652
2788,-23548
3052,-22028
2680,-21012
3296,-19872
1924,-19860
2324,-20768
2800,-19340
1536,-19736
2040,-20068
2912,-19484
1504,-18448
1688,-18552
2576,-18180
1388,-17548
1656,-17824
1276,-16520
2028,-16536
1272,-16780
2048,-15748
904,-16116
776,-16528
2020,-15244
736,-14564
240,-13584
1176,-14444
1148,-12544
120,-12552
540,-12948
1132,-12060
888,-11528
116,-11416
356,-12004
488,-12272
356,-11912
896,-12260
364,-11912
-288,-10728
148,-10912
-8,-9880
128,-9476
-276,-9888
120,-9740
8,-9480
-524,-8452
8,-9376
-536,-8804
-276,-9112
-928,-8936
-668,-8472
-652,-9232
-1412,-9104
740,-7300
-652,-6916
-1544,-8092
-256,-6272
-284,-6500
-640,-7320
-1388,-6680
-1284,-6148
-1288,-5908
-516,-5764
-1184,-5776
-1692,-5908
-1652,-6044
-656,-5524
-2300,-5396
-1684,-5792
-1156,-5280
-1548,-4760
-900,-5272
-1796,-4092
-1764,-4872
-2024,-3744
-1540,-3468
-1288,-3720
-1788,-3856
-1928,-3580
-1784,-3332
-1544,-3704
-1804,-3844
-2592,-3716
-1528,-2696
-1808,-3572
-2700,-3196
-2076,-2692
-2076,-3196
-1952,-2844
-1536,-2404
-2056,-2412
-2060,-1412
-2204,-1792
-2840,-1772
-2032,-1916
-1548,-1384
-3104,-908
-2536,-900
-2540,-2188
-1680,-1172
-2952,-1668
-2060,-2320
-1904,-1172
-3456,-1440
-2196,-664
-2696,-136
-2196,-924
-2440,-640
-2820,-416
-1688,892
-2824,120
-2812,-644
-2588,-4
-2464,-1032
-1952,140
-3324,228
-2848,-380
-2196,-404
-2708,100
-2840,108
-2312,736
-2532,1144
-2580,1308
-2720,1428
-2928,1264
-2816,608
-2444,868
-2560,2188
-2580,1012
-3308,888
-2184,1024
-2800,268
-2076,1256
-2704,1508
-3332,1392
-2316,1532
-2300,1392
-2444,2292
-2972,2672
-2796,2292
-2956,2016
-2572,2200
-1896,2792
-2548,2424
-3192,1788
-2184,2144
-2944,1776
-2440,1772
-2404,2676
-3344,2656
-2332,1896
-2836,1780
-2588,2664
-2928,2920
-2588,2188
-2332,3300
-2924,2804
-2956,3092
-2324,3832
-2452,3444
-2660,3436
-2820,3044
-2456,2288
-1636,2168
-2956,2528
-2452,3604
-2436,3312
-3084,2276
-2208,3176
-2820,4340
-2960,3812
-2688,3476
-2432,3820
-2660,4076
-2820,4468
-3100,3948
-2828,4080
-1680,3816
-2464,2924
-2308,4204
-2848,3936
-2204,3196
-2076,3964
-2464,3996
-2056,3172
-2324,3572
-3092,3560
-2408,3996
-1936,3680
-2824,3476
-1692,4200
-2716,4980
-2460,4836
-2704,3960
-2460,3828
-2064,4244
-2080,3564
-2440,4508
-3220,4592
-1948,3444
-2568,4604
-2940,4604
-1808,4628
-1156,4888
-3468,4248
-1816,4964
-2584,4960
-2452,4472
-1812,5496
-3180,5108
-2080,4988
-1300,5224
-3344,3704
-1660,3428
-1812,4332
-2720,4964
-2296,4604
-2148,4348
-2920,5108
-2404,5256
-1428,5608
-2972,4860
-2200,5732
-1640,5512
-1552,4848
-2420,4736
-1800,4980
-1692,4604
-2076,5016
-2312,5112
-2436,3576
-2080,3708
-1052,5108
-2312,4632
-2304,4616
-1772,5360
-1548,4972
-1948,5860
-2076,5264
-1388,5500
-1544,5392
-1812,5352
-1560,4196
-1412,5096
-2168,4380
-1416,4712
-1536,5148
-1676,4728
-2064,4976
-2320,5108
-920,4984
-2192,4588
-780,5400
-2040,5472
-2060,4860
-1008,4840
-1684,6008
-876,5728
-1692,4752
-1680,5480
-1672,4604
-1412,5096
-1300,5244
-1408,5352
-2028,4892
-1544,4340
-1424,4960
-1556,5240
-1308,4832
-1556,5128
-1052,5368
-1304,5496
-2024,5104
-1172,4988
-640,5220
-1276,5352
-1548,5900
-1640,5492
-1296,4320
-1268,5004
-1812,5240
-1028,4712
-1676,5256
-1180,3964
-632,5104
-1532,5472
-900,5784
-912,6168
-1636,4860
-536,4716
-1028,5088
-1260,5112
-776,4980
-1428,5372
-1436,4092
-776,4376
-1172,5112
-628,4968
-884,4464
-1532,4464
-144,5476
-1164,5600
-1304,5916
-536,5500
-908,4964
-660,5088
-644,4984
-1168,6136
-996,5216
-1892,4328
-532,5116
-280,4340
-1416,4712
-1032,4984
-384,3940
-908,4196
-284,4604
-928,5108
-1156,5604
116,4884
-656,4960
-532,4988
-1160,4880
100,5508
-1312,5628
-912,4632
-132,4868
-928,5240
-652,3936
-904,4332
-1056,3940
-400,4360
-528,3852
-652,4596
-532,5356
-408,4988
112,5088
-1008,4964
-152,4760
-8,4832
-524,5476
-1028,6248
-672,5136
100,4216
-1052,4344
-664,4728
-32,4320
-528,3944
-20,4600
-648,3964
-496,3552
-356,5148
-1048,4716
-672,4336
364,4484
-1180,5108
-260,4580
488,3812
-920,5220
-288,4456
-152,4332
-532,4064
276,3568
100,4716
-240,4072
-660,3964
256,4844
-148,4892
-396,3832
252,4464
-524,5216
-16,4968
-284,4348
-924,3568
-148,4596
100,3304
500,4220
-144,4464
-668,3468
496,4332
-496,3440
-132,3816
-120,4852
96,4868
412,4208
-416,4832
-492,4336
112,4464
-20,3852
360,4216
100,4856
-1172,3480
-140,3812
156,3944
408,3960
156,2808
-400,3052
-628,3936
1040,3948
148,3192
376,3936
-16,4340
496,4088
376,4740
-132,2936
664,4072
-148,4356
-784,3444
352,4468
888,3988
260,3696
-104,3068
500,2816
-136,3828
-364,3308
236,3720
-136,3572
244,3952
-28,4460
388,4340
248,3948
400,4252
120,3812
16,3560
1008,3076
-160,3056
-384,3044
528,3308
760,3324
-260,2824
108,3196
616,3732
488,3336
608,3448
260,2656
656,3072
116,3304
664,3680
632,3732
-404,3828
148,3056
904,3044
96,3936
-128,3556
124,2440
368,2920
612,3448
-276,2804
868,3180
480,2912
116,2664
484,3556
636,3464
-24,3808
100,3684
540,3072
748,3316
-108,3604
244,3180
636,2548
252,2680
-520,2288
880,2172
900,2824
-140,2708
1376,2420
-116,4064
244,2964
1124,2952
352,3824
608,3176
740,2784
760,2664
272,3204
628,2580
880,2332
-260,1768
368,1920
488,2072
152,2156
764,1692
508,2316
748,3308
492,2548
876,2792
620,3180
864,3572
-28,3972
-32,2672
1144,2288
1012,2184
244,2700
380,2916
900,2536
-140,1676
516,1532
924,2564
760,1412
892,2440
104,2292
284,2404
488,2536
608,3708
796,2412
128,2072
624,3180
1252,2816
740,3956
-648,1812
864,1780
880,3312
508,2144
908,1932
120,2024
1268,2400
496,1920
364,1564
228,2820
1144,2292
504,2280
1136,3044
864,2160
-280,1892
784,1924
1276,368
480,2148
880,2280
100,1276
260,1412
992,1148
872,1520
1008,2016
