ch1,ch2
0,0
-3216,32764
-15128,32764
-23440,32764
-28008,32764
-29084,32764
-28936,32764
-28172,32764
-23820,32764
-18448,32764
-15720,26848
-11928,-14852
-4372,-32768
-4848,-32768
740,-32768
6152,-32768
8700,-32768
11896,-32768
10124,-32768
10776,-32768
14472,-32768
14972,-32768
14344,-32768
15352,-32768
13560,-32768
12792,-32768
11256,-32768
12564,-32768
13308,-32768
11244,-32768
10356,-32768
10344,-32768
10996,-32768
10728,-32768
8944,-32768
7564,-32768
7160,-32768
7648,-32768
8172,-32768
7320,-32768
7012,-32768
6640,-32768
6168,-32768
4600,-32768
5088,-32768
4576,-32768
3444,-32768
4736,-32768
4996,-32768
4192,-32768
3436,-32768
3320,-32768
3848,-32768
4348,-32768
4192,-32768
3960,-32768
4332,-32768
3044,-32768
3456,-30440
3308,-27928
3096,-26640
3596,-26012
2536,-24844
3056,-23700
2404,-23036
3040,-21408
2548,-21144
2916,-20896
3068,-20628
1680,-19444
3056,-19220
1652,-19460
2172,-19340
2316,-19724
1280,-18332
2672,-17420
1664,-18168
1936,-17424
1272,-16516
992,-17560
2404,-16404
1520,-16388
1912,-15648
1140,-14852
744,-13960
1000,-14864
380,-13716
-152,-13828
1436,-14488
1008,-13040
612,-13036
996,-12816
1300,-12656
504,-12528
-272,-12160
620,-12188
1004,-11276
280,-11140
-12,-11424
628,-11644
272,-12556
892,-10360
236,-9504
-616,-10384
1036,-9740
-916,-9492
-392,-8980
-392,-8420
-880,-8700
-136,-8428
-1156,-8456
-664,-8096
140,-7920
-1140,-7564
-880,-7944
-524,-7532
-416,-6664
-792,-7704
-524,-7188
-776,-6892
-1552,-6536
-412,-6260
-1672,-6792
-772,-6256
-928,-6044
-1440,-6176
-528,-6252
-1924,-6164
-908,-4740
-2040,-6008
-1300,-5764
-868,-4508
-2056,-5752
-916,-4364
-1668,-4096
-2184,-4628
-1300,-3576
-2056,-4224
-2172,-4228
-656,-3348
-2204,-3736
-2156,-3100
-1800,-3612
-1924,-3204
-2180,-3204
-1936,-3356
-1696,-3472
-2440,-2696
-1936,-2948
-2460,-2456
-1696,-2792
-2328,-3080
-2160,-2196
-1680,-2296
-2328,-2052
-1516,-1296
-2920,-1268
-2320,-2580
-2300,-1688
-2208,-892
-2324,-2332
-2832,-1056
-2580,-372
-2848,-1692
-1816,-652
-2556,-1032
-2544,-404
-2928,-512
-2308,-664
-2176,-632
-2436,-404
-2580,-772
-2324,-888
-2336,1136
-2568,-904
-2444,-396
-2168,352
-2952,-640
-2072,760
-2948,244
-2716,-12
-3080,284
-2208,632
-2176,744
-3204,1380
-2704,1008
-3428,1004
-2584,492
-2316,1524
-3224,260
-2816,388
-2068,1516
-3348,628
-2836,372
-1948,744
-2040,1252
-2708,2052
-3360,1908
-2460,1540
-1940,2280
-2316,1272
-2660,2296
-2924,2940
-2460,2324
-2192,2072
-2832,2200
-2332,2064
-3476,2160
-3076,2416
-2560,2044
-2576,2300
-2432,2048
-2540,2528
-2564,3176
-2704,2408
-2836,2708
-2708,2680
-2320,3312
-2840,3088
-2672,2680
-2180,2160
-2440,3056
-3196,3452
-2328,2912
-2336,3296
-3104,3596
-2572,3180
-2968,2812
-2416,2788
-2464,4240
-2704,3048
-2020,3044
-2336,3696
-2664,3448
-2336,3740
-2952,3444
-2668,3304
-2284,3188
-2336,3812
-2444,4968
-2972,3604
-2680,3952
-2576,4220
-2704,3304
-2708,3444
-2332,4116
-2464,4212
-2288,4112
-2452,3704
-2828,4244
-2336,4080
-1560,4196
-2672,4720
-2180,4744
-3352,3596
-2308,4604
-1688,4604
-2692,4220
-2688,4976
-2936,4576
-2192,4708
-2312,4980
-2572,4376
-3176,3812
-1940,4232
-2456,5004
-2060,4368
-1940,4472
-2956,5348
-1908,4628
-1672,4068
-2580,4860
-2072,5512
-2720,4340
-1936,3692
-1688,4836
-2568,5124
-2712,4104
-1292,4724
-2592,5392
-2592,5612
-1636,4732
-2408,4984
-2204,5860
-2572,4464
-1808,4584
-1556,4880
-2584,4216
-1160,5020
-2460,5604
-2464,4604
-1436,4596
-2300,5096
-1936,4988
-1784,4360
-1564,5220
-2324,5240
-2148,4972
-1560,4608
-1436,5628
-2436,6148
-2052,5104
-1808,5216
-2020,5224
-1772,4744
-1676,4732
-2036,4716
-1692,4600
-1764,5388
-1044,5476
-2024,5240
-1300,4852
-1936,4580
-1684,5248
-1048,5624
-2148,4596
-1520,5112
-1164,5872
-2076,5100
-1292,5224
-1040,4884
-1308,4852
-2284,4860
-1560,5476
-1768,4972
-1684,4724
-1432,5348
-1788,5860
-1300,4460
-1676,5132
-1424,5632
-1696,4880
-1308,5012
-1796,5228
-1656,5640
-388,4600
-1028,5660
-1696,4988
-1396,4228
-896,4984
-1172,5020
-1132,4892
-1436,4708
-1032,4360
-1052,4736
-1048,5604
-912,6248
-2188,5092
-788,4844
-1292,5276
-1144,4836
-1024,4724
-252,4832
-1056,5476
-1796,5352
-776,4960
-1168,4988
-1028,4716
-928,5496
-1312,4716
-1168,4624
-1428,4380
664,5736
-1304,5612
-1300,4348
-668,5092
-1156,4888
-528,4980
-884,5244
-768,5480
-1440,4456
-900,4472
-520,4584
-1428,4732
-260,4376
-1312,5228
-772,4704
-1048,4980
-912,5512
-276,5108
-996,4476
-920,4740
-416,4636
-644,5600
-648,5880
-912,4592
-888,4596
-388,4364
-912,4476
-904,4464
-628,4964
-788,4116
-288,3728
-140,5220
-1280,5100
-1032,4236
124,4212
-1176,4448
-276,4588
-12,5492
-636,4456
-672,4964
488,5260
-920,5364
-1052,4360
-872,3968
-1044,5088
-280,4456
-416,3700
-272,4204
-136,3828
156,5124
4,5372
120,4324
-780,4836
-768,4252
232,5012
-1056,4320
-20,4072
280,4764
-648,4588
-528,5404
140,4208
16,4364
-28,4320
-1032,3564
-752,5240
-100,4592
-916,4200
108,4072
264,4080
-280,4320
-132,4460
-408,4336
-764,4220
116,4452
16,3820
-408,3308
116,4840
-160,4348
400,4336
-152,4720
-800,3596
-628,4084
540,4964
-132,3952
100,3448
104,3552
252,4332
-4,4584
-412,3740
-24,3684
-260,4336
488,3832
-136,4204
488,4460
-356,3960
488,3852
96,4068
632,4208
368,3812
-400,3952
-252,4328
628,4236
-276,3440
412,3864
756,4836
-268,3728
-24,3484
-416,3312
128,3204
616,3576
-16,4596
-392,3964
120,3964
12,4620
488,3820
624,3832
376,3592
364,3300
356,3596
224,3816
-544,3476
752,3740
504,3332
-276,3440
496,3440
-280,2796
248,3868
24,2972
232,2708
404,3176
-136,3556
356,3960
396,3812
100,4844
-152,3564
1148,3972
16,4848
-520,3556
644,3060
912,2952
104,3696
120,2716
1020,3044
-236,3708
492,3452
100,2920
96,2844
-364,2792
616,2832
136,3196
796,3308
-28,2840
120,2932
1296,3600
668,3048
-100,2820
112,2664
756,4080
232,2940
252,3060
496,3440
244,2168
368,2956
1016,3208
128,2812
400,2528
360,2292
492,3180
-384,2308
1772,2168
504,2580
-160,2916
644,2940
536,3188
480,3060
-12,3684
144,3204
-492,2700
912,2204
920,2156
100,2936
364,2544
484,2940
352,2584
356,2668
736,2716
996,3056
400,1412
128,2040
528,2580
864,2032
528,2180
-24,2332
1004,2412
1052,2560
24,2144
244,2060
1760,3432
244,2192
-280,2696
1388,2676
868,2016
148,3040
388,2204
620,2148
400,2044
760,1384
1016,2460
636,1916
372,1780
360,2324
508,2020
128,2408
504,2288
620,1268
1384,2172
616,2200
480,1688
484,1908
100,1912
352,2068
1536,2148
520,1148
540,2020
784,2932
884,2168
500,2168
400,2156
1008,1516
380,1640
128,1924
1148,1764
1264,2528
1144,2020
488,2912
484,2316
1120,2272
388,1772
360,1136
1508,2312
-104,2172
236,1388
1140,1520
792,2152
496,868
872,1156
-16,2036
1384,1408
1120,1760
484,1436
1148,1512
740,1660
1144,1776
252,1896
492,2560
792,2036
1388,876
-100,1948
224,1788
1124,1380
-148,1776
1136,1644
736,1888
1124,1120
-232,1140
1004,1392
1164,1380
0,2032
788,1652
640,1260
1132,1420
500,1764
368,1164
884,612
1412,752
536,1396
636,900
536,1520
888,1660
892,1544
628,2028
1124,2032
12,2272
-16,908
768,2072
1008,2276
1308,1760
520,1276
108,1640
232,1124
2024,996
1308,1644
504,1380
-20,1900
632,768
500,1396
1008,1284
532,892
628,756
1248,992
488,1676
792,996
1148,116
500,1136
352,1516
768,664
1144,880
-20,1132
412,528
920,1300
788,1508
1388,656
236,872
1016,1680
996,2024
-8,1640
1272,1148
132,908
1388,1304
1384,1024
-544,996
1176,1052
1004,924
748,480
1120,380
276,636
736,1292
484,1132
380,752
400,1136
368,1124
1020,1124
504,616
748,1136
880,2188
916,1380
396,1128
868,788
400,892
-116,-132
1268,356
120,748
1120,352
1900,892
116,752
892,1044
1040,1148
884,880
108,1016
376,488
764,612
524,652
1512,888
132,996
496,1000
1172,868
624,-160
488,1400
1260,484
492,-12
500,868
1052,24
608,-24
360,124
744,752
868,748
608,96
868,876
1004,1656
504,776
356,-24
152,896
1132,368
756,364
408,508
740,252
540,1276
-4,228
400,352
1656,612
380,608
736,608
480,240
500,-160
1136,-8
1008,280
536,516
492,-8
624,252
740,892
760,128
364,28
620,-12
360,360
1396,624
496,4
356,528
1008,-32
628,752
1040,1160
236,-12
-140,244
920,540
404,-148
756,-20
1276,144
-28,-652
1288,244
-276,268
664,-540
1252,-12
156,408
736,508
888,512
-144,244
1508,1248
-16,1272
-32,-288
996,12
624,276
244,28
640,372
1132,232
628,-652
-28,-228
764,-1056
908,112
632,-276
1160,-140
108,120
-260,-140
632,772
640,-372
1420,500
1304,864
632,-116
136,-16
508,368
268,-392
1256,-412
148,-4
224,-392
1412,-148
352,488
864,0
532,-148
248,-268
764,412
1540,-244
624,236
256,492
1008,12
268,248
540,-484
404,112
1048,244
1000,-520
404,-148
260,-372
744,-416
-12,-260
888,512
1140,-28
-100,20
376,360
740,380
624,252
256,-160
904,740
1000,104
-152,-156
480,-12
1296,368
96,4
132,-396
372,-152
1008,-132
628,-404
740,0
608,112
540,116
1260,664
-160,-16
256,-132
372,380
608,-780
508,-1180
1516,1388
-488,8
756,-276
360,756
608,-884
992,496
-276,-408
912,-648
268,236
896,-776
760,-28
360,776
892,-264
244,244
388,-32
496,-380
-8,-4
-392,-416
880,-132
1132,16
384,-1136
104,108
280,404
1248,-160
636,-268
128,-20
784,620
128,-264
608,120
384,112
360,-652
508,-112
740,236
644,120
508,-1036
240,-792
496,-252
356,-160
620,-500
-492,-280
744,356
532,284
-24,-28
1512,488
412,-284
372,-28
-356,240
-140,-648
1264,-268
632,-144
876,116
-136,248
1044,-1032
752,24
-372,356
252,-368
1660,-776
912,-144
-656,-20
608,-16
1384,112
-140,-356
-28,364
1004,-264
1004,-612
764,-268
-4,-496
-140,-1020
648,-900
260,-1052
496,-1044
488,-264
364,-640
252,-12
884,-124
-272,-628
