ch1,ch2
0,0
-3616,32764
-14740,32764
-23056,32764
-28552,32764
-28388,32764
-29584,32764
-28276,32764
-22812,32764
-19204,32764
-15896,25696
-10256,-17436
-3976,-32768
-5128,-32768
124,-32768
5220,-32768
9056,-32768
11256,-32768
10604,-32768
10848,-32768
13032,-32768
14588,-32768
14944,-32768
15600,-32768
12768,-32768
13044,-32768
12312,-32768
12024,-32768
13424,-32768
10752,-32768
11256,-32768
11616,-32768
10860,-32768
9964,-32768
8180,-32768
8824,-32768
7928,-32768
7704,-32768
8188,-32768
6800,-32768
6256,-32768
5748,-32768
6004,-32768
4980,-32768
4600,-32768
5344,-32768
4376,-32768
4344,-32768
4844,-32768
4592,-32768
4204,-32768
4328,-32768
3312,-32768
3684,-32768
3700,-32768
3808,-32768
3176,-32768
4472,-32364
2956,-29716
3300,-27028
3848,-26392
2800,-25616
2824,-24324
2288,-23916
2668,-22168
3068,-21652
1896,-20972
2668,-21648
3324,-20372
2660,-19616
2044,-19852
1900,-19708
2040,-20124
2568,-19816
1680,-19056
2188,-18332
2400,-19100
1772,-17568
1676,-17808
1564,-17416
1892,-16360
1504,-17172
1656,-15512
760,-15492
1524,-15904
1888,-14600
480,-14484
-132,-15004
1280,-13828
1384,-12808
408,-12652
764,-13084
532,-12044
120,-11676
132,-12428
768,-12688
608,-11660
640,-11664
620,-10248
-240,-11148
368,-11512
-20,-10372
96,-10516
-272,-9868
-240,-9496
-16,-9620
-116,-9452
276,-8560
-1308,-8344
-1028,-8736
-264,-9104
-380,-8460
-508,-8200
-516,-8188
100,-8332
-1052,-7836
-616,-7832
-1024,-7960
-780,-7960
-1300,-6808
-520,-5748
-272,-6164
-2312,-6244
-504,-6816
-928,-6008
-1384,-5896
-1256,-5892
-1280,-6536
-1136,-6172
-1056,-5276
-1668,-5536
-1552,-5264
-1028,-4884
-1788,-5236
-1264,-5280
-1176,-4252
-1904,-4508
-1424,-3488
-2300,-3436
-1940,-3968
-1184,-3208
-2588,-3356
-2284,-4000
-1000,-3184
-2588,-3088
-1932,-2844
-1420,-2184
-2316,-3864
-2424,-2808
-2192,-2440
-1920,-2068
-2060,-1944
-2180,-2920
-2188,-2440
-2148,-2148
-2316,-2176
-1920,-1552
-2424,-1028
-1944,-1808
-3052,-1812
-2032,-1400
-1912,-1432
-2312,-1532
-2836,-1388
-1928,-1020
-2796,-1656
-2544,-904
-2532,-280
-2720,736
-2576,-288
-2576,-268
-2200,-236
-2568,-536
-2196,-144
-2560,-268
-2200,496
-2580,-776
-2948,-280
-2192,608
-2668,-144
-2568,524
-2696,112
-2404,108
-3452,640
-3068,372
-2024,1132
-2796,1140
-2568,1376
-2328,1164
-3712,380
-2460,748
-1796,1124
-3064,1268
-2292,1276
-2332,1264
-3724,764
-2072,1004
-2584,1536
-2584,1512
-2432,2200
-2568,2532
-2328,1688
-2952,2660
-2692,3300
-2840,2024
-2464,2200
-2432,2400
-3232,2028
-2584,2176
-2712,1912
-2956,1308
-1684,1636
-2456,3088
-3328,2788
-2436,2284
-2204,3304
-3816,3052
-2460,3348
-2464,4252
-3064,3344
-2308,3168
-3216,3064
-2308,2656
-2692,3212
-2200,2924
-2208,2808
-3092,2828
-2960,2040
-2696,2808
-2072,3304
-2700,3708
-2848,3988
-2968,2404
-1804,3444
-2836,3476
-2288,3836
-2296,3944
-2592,3560
-2152,4340
-2972,3820
-2440,3564
-1948,3304
-2552,3572
-2448,3312
-2584,3952
-1932,3556
-2972,3556
-2712,2936
-1804,4324
-2320,4720
-3212,3724
-3092,4576
-1132,5484
-2828,4368
-2916,3944
-2192,4592
-2572,4364
-1944,3948
-2320,4220
-2692,4212
-2172,4724
-2336,4844
-2284,3324
-2672,4460
-2708,4328
-2052,4860
-2692,5752
-2676,4628
-1796,4888
-1936,4840
-2556,4216
-2284,4856
-2536,4836
-2316,4220
-1796,3712
-2956,4112
-1436,4976
-3044,4448
-2564,4508
-1804,4216
-1696,4732
-2028,4980
-2696,5120
-1816,5476
-1680,5252
-2312,4500
-1764,5112
-2280,5404
-2444,5020
-1436,4476
-2072,4860
-1780,3972
-1948,4716
-2184,4584
-1908,4232
-1940,5480
-2316,4472
-1396,5360
-1416,4724
-1556,4852
-1044,6380
-2804,5768
-1776,4988
-1824,5108
-1380,5252
-1308,5096
-2592,4868
-1772,6260
-1892,4504
-1820,3856
-1548,5116
-1892,4832
-1800,4632
-1924,4764
-1396,4840
-1312,5348
-2160,5400
-1140,4996
-1416,5472
-1008,5016
-1564,5096
-1636,5248
-1792,4972
-1552,5620
-904,4964
-1948,4844
-1676,4848
-1156,5364
-1528,4476
-1160,5260
-2080,5220
-1056,4452
-1308,5620
-1672,5112
-1040,5532
-2076,5496
-656,5380
-1160,5112
-2060,4848
-1016,5492
-1304,4876
-1680,4476
-660,4196
-1928,5220
-380,5892
-1136,5476
-1816,4724
-928,4980
-788,5272
-908,5520
-1564,5880
-928,4448
-1156,4764
-916,5624
-540,5228
-1428,5600
-1416,5092
-408,4452
-780,4756
-1180,4452
-1184,4964
-904,4708
-524,4452
-1284,4836
-524,5728
-1440,5484
-908,4988
100,5388
-1432,5012
-1420,5612
-524,5364
-904,4448
-1184,5220
-1252,5216
-496,4588
-1044,4604
-796,4836
-656,3956
-1048,4584
-880,4968
-668,3832
-104,5608
-8,5344
-1184,5088
-288,4984
-1000,5268
-924,6392
-520,5272
-544,4860
-912,4616
-1252,4848
-672,4208
-672,4208
-900,5092
-268,3936
-644,3736
-656,4980
116,5628
-648,5228
-524,4460
-256,4728
-920,5104
-1280,4976
-540,4984
112,3572
-544,4480
-416,5240
-1044,4092
-144,3988
-640,3700
-8,4628
-280,5608
-120,4720
-256,3936
-1440,4204
-272,4756
24,5640
-780,4576
-108,4488
120,4728
-900,4960
-536,4072
-160,4244
-28,4716
-484,3964
128,4344
-664,4708
-280,4100
492,3960
-660,3936
-780,5112
-148,4856
-260,4084
884,4344
-772,4752
-408,4584
360,4192
-284,4460
-116,3812
-524,4596
-392,4604
240,3304
-412,3692
248,3188
-8,3832
356,4332
-244,4848
-260,3972
268,4348
-284,4120
-104,3560
496,4604
-284,3840
124,4092
-244,3836
1000,4336
-788,3680
244,3580
520,3572
-376,3448
508,3684
-524,3196
776,3812
-120,4064
624,4084
616,4856
-668,4208
396,4456
236,4068
-392,3700
-100,3940
-8,4336
156,3956
276,3832
268,3440
252,3076
392,4368
-636,2924
372,2148
492,3184
1008,3436
-400,4248
116,4712
632,3860
-152,3556
352,4196
24,3320
480,2540
612,2916
128,3688
-12,3732
252,2532
1016,3560
24,4088
624,3320
-408,3952
408,3448
-264,3568
496,3580
744,3428
-384,2808
1048,3448
384,3836
120,3068
-272,3308
368,3168
112,2544
1176,3704
260,3184
244,3084
892,3568
-256,2028
100,3172
-112,3040
920,3168
888,3324
-124,3184
224,3948
376,2828
268,3832
744,3564
152,3200
480,2916
116,2324
128,3172
124,2440
488,2148
400,2936
236,2556
484,2788
764,3048
108,3556
640,3336
376,3680
228,2412
880,3296
884,2528
632,2156
652,2788
392,2040
244,2400
500,2424
752,1124
100,2276
888,2796
508,2688
252,2532
740,2424
628,3076
664,3688
632,2788
396,2928
16,2164
1272,2840
-8,3444
364,2324
608,2584
148,2400
1020,2144
504,2556
632,3188
500,2404
1136,2272
364,2204
-264,1780
1048,2276
1648,2568
256,2932
-20,1548
896,1760
1152,2164
-264,2408
496,2288
1248,2428
-284,2404
1508,1396
1180,2036
264,2304
1144,2416
-104,1784
1144,2292
1008,2660
-240,2536
520,2684
876,2160
1380,2404
376,1772
920,2804
232,2016
876,1408
480,2324
280,1904
1256,788
608,1172
480,2044
864,2548
1000,2460
100,2420
-8,2800
624,2076
1012,2328
1040,2404
252,1932
496,2036
620,2036
368,1248
628,260
884,1900
516,1888
764,1268
252,1020
1504,2164
224,1376
488,1904
756,2416
1388,1524
-360,2272
16,764
2288,2280
-288,2560
1176,2284
788,1388
748,516
400,1420
380,492
1532,1412
260,1768
244,1564
764,1772
1028,2036
780,2304
-232,1404
752,1560
1300,2180
20,1896
504,1424
496,1144
760,764
1272,1128
504,660
1176,996
352,1172
1376,1128
260,1376
764,1308
620,2280
484,1684
1376,1644
-288,1888
-152,1296
1532,1636
1276,1636
356,1388
104,1384
1016,1516
1536,1400
996,2276
100,1264
360,612
392,1380
1512,1380
760,504
496,1136
1248,1140
528,1044
20,1680
1392,780
528,484
520,1012
1156,1008
628,240
-28,480
12,484
1264,120
1148,1008
888,1788
792,1128
1132,1920
280,1812
504,1660
752,656
664,880
352,2664
388,996
120,484
1656,-20
1268,876
360,628
372,-160
908,536
1136,100
232,1140
908,1128
876,1012
744,1816
740,1276
484,2028
520,1304
12,1168
1016,872
1148,756
1044,412
280,508
1016,656
1528,496
-160,668
488,104
492,492
1272,736
104,888
1004,636
996,1380
248,1248
664,1124
620,784
1172,-388
636,876
744,1544
632,-8
240,224
740,620
752,512
100,1180
508,740
1784,-108
628,480
608,756
352,1292
884,156
616,152
744,1376
916,1144
-248,224
1024,-100
488,1052
1004,892
756,256
236,492
508,-792
876,360
360,884
608,884
1292,1304
236,760
756,760
912,764
228,652
792,124
776,-156
872,0
920,992
352,384
140,-912
1768,404
756,632
-8,-160
484,-140
656,-248
356,1248
1136,616
108,896
664,508
1120,740
-276,1016
880,652
900,-484
228,360
480,748
500,12
736,360
484,-260
1396,232
380,-280
-112,8
1544,656
240,-156
508,112
1268,872
248,532
624,268
356,356
352,492
1412,616
500,-148
748,-8
412,360
276,-32
1028,-1168
624,-624
240,660
740,796
912,-32
756,-4
620,372
756,112
632,-152
612,1048
744,280
1524,-8
-232,756
480,140
1012,508
-144,-648
636,-244
372,144
892,-260
1284,368
-800,-788
872,-4
1524,108
764,352
480,1248
636,508
12,372
352,-416
644,-288
1524,380
108,356
508,240
272,-156
276,-504
796,-908
912,252
-24,872
532,-264
992,-524
480,-160
628,244
756,372
608,792
-780,736
504,4
1380,-396
480,-780
628,-640
500,376
360,-672
1000,-156
888,-644
352,-528
876,236
784,-516
628,496
772,252
-112,-160
252,-120
1040,632
104,-20
280,-512
864,-28
752,-524
-124,-32
788,-116
608,352
256,-792
656,112
96,372
1136,96
512,496
356,-508
96,228
740,624
16,224
252,100
992,-240
512,-884
392,-1296
1388,492
616,-136
-12,-616
364,-132
352,144
236,-616
752,-664
864,-4
392,-388
1020,252
352,368
124,-516
540,352
