ch1,ch2
0,0
-3460,32764
-14752,32764
-22424,32764
-28176,32764
-29332,32764
-29564,32764
-27424,32764
-23176,32764
-19088,32764
-15752,25096
-11532,-15124
-4116,-32768
-3360,-32768
652,-32768
5100,-32768
9104,-32768
11136,-32768
10740,-32768
10096,-32768
14068,-32768
15864,-32768
13412,-32768
15332,-32768
14436,-32768
11116,-32768
11920,-32768
12516,-32768
13956,-32768
11764,-32768
8556,-32768
10988,-32768
11616,-32768
10612,-32768
9116,-32768
7672,-32768
8220,-32768
7288,-32768
7684,-32768
8172,-32768
6504,-32768
5756,-32768
6016,-32768
4244,-32768
4592,-32768
4604,-32768
4456,-32768
4240,-32768
4344,-32768
4708,-32768
4200,-32768
5092,-32768
3592,-32768
3848,-32768
4212,-32768
3732,-32768
3556,-32768
3588,-31640
3312,-30456
3556,-27920
3436,-26356
2940,-25088
2332,-24860
2804,-24860
3040,-22160
2844,-21644
2560,-20840
2544,-20840
2792,-19852
2300,-19740
2032,-20500
2400,-19224
2032,-19188
2808,-18696
1248,-18660
996,-18196
2328,-18408
1896,-17940
1916,-17040
1376,-16888
1268,-16540
2552,-16132
1648,-15112
0,-15504
1648,-16016
620,-14224
1144,-13812
1004,-14564
880,-13284
1044,-13952
1396,-13084
260,-12772
632,-12448
1260,-12540
768,-12696
488,-11652
380,-11108
-396,-11420
-8,-10880
1008,-9732
-412,-10256
352,-10132
232,-9484
-648,-10512
120,-9228
-288,-8976
-544,-9476
-668,-8732
-540,-8580
-652,-8060
-400,-8312
-160,-9116
-496,-9120
-140,-7328
-1544,-7700
-516,-9192
-504,-7824
-512,-6928
-620,-7304
-1284,-6532
-384,-7024
-1668,-5260
-1008,-6420
-1264,-6176
-1676,-5992
-672,-6284
-1160,-5664
-1524,-6132
-1528,-6172
-1260,-5652
-1000,-4976
-1432,-4508
-1936,-5260
-1764,-5144
-1552,-4740
-2192,-4856
-924,-3944
-1544,-3840
-2068,-4348
-1560,-3856
-2324,-2204
-1672,-4608
-1544,-3732
-1300,-3220
-1820,-3092
-2916,-3232
-2584,-3048
-1440,-2576
-2200,-3356
-2576,-2200
-1172,-1412
-2704,-2836
-2312,-2200
-2440,-1516
-2924,-2316
-1408,-2176
-1936,-1412
-2300,-1028
-2824,-1688
-2444,-2192
-1936,-1396
-1944,-1304
-2572,-2204
-2152,-1560
-2464,-1040
-2684,-1172
-2460,-492
-1904,-152
-2572,96
-3432,-520
-2324,664
-2708,-268
-2700,-776
-2568,652
-2328,-912
-2556,-648
-1676,-884
-3076,224
-2836,616
-2064,-396
-2464,104
-2712,-20
-2328,752
-2836,996
-2688,888
-2716,1020
-2328,868
-2808,1260
-3444,636
-2464,880
-2188,636
-2816,368
-3052,1768
-2208,1384
-2700,1124
-3360,1512
-2072,1648
-2932,2412
-3564,2424
-1916,1764
-2580,2420
-2820,2416
-2568,1516
-2548,2160
-3076,2024
-1896,2704
-2580,1920
-2448,1780
-3612,2176
-2840,1660
-2180,1912
-2188,2040
-2840,2148
-2844,2404
-1672,2956
-2704,2932
-3360,2580
-2200,2928
-2720,3588
-2304,3048
-2948,2672
-3076,2680
-2588,3060
-2588,3604
-2712,2936
-2800,3320
-2280,2700
-1940,2276
-2828,3568
-2464,3980
-2692,3068
-2324,3564
-2452,4076
-2440,3572
-2324,3300
-2568,3836
-2832,4604
-2968,3428
-2412,4108
-3224,4968
-2436,3080
-2832,3176
-2452,3588
-1824,3204
-2440,4328
-2976,4064
-3172,4348
-2568,3856
-2924,3952
-1800,4860
-1812,3552
-2184,4336
-2576,4592
-2716,3964
-2048,3832
-1944,3684
-3480,4984
-2464,4348
-2152,3832
-2592,4624
-2080,4456
-1936,5228
-2820,4332
-2324,4584
-2052,4576
-2672,4616
-2288,5144
-2080,4964
-1932,5236
-2336,4340
-2460,4592
-1424,5368
-2552,4612
-2844,4332
-1812,4724
-2964,4596
-2208,3684
-1824,4072
-1936,5128
-2028,5264
-3216,4892
-1696,4476
-1824,6264
-2300,5116
-1808,4376
-2660,5876
-2540,5356
-1688,5100
-2580,4724
-1424,4068
-1948,5004
-2532,4584
-1568,5232
-1820,4124
-1940,4596
-1672,5512
-2576,5868
-1804,5220
-2044,4708
-1808,5368
-1940,5228
-1780,5088
-2184,5352
-772,5488
-2148,5640
-2464,4500
-1044,4596
-1432,4224
-2708,4976
-1312,5088
-1284,4724
-1788,4380
-1688,6012
-1812,6252
-1436,4328
-1556,5232
-1780,4884
-1932,4980
-1132,5116
-1696,5500
-1164,4716
-1692,4844
-1176,5888
-1256,4324
-1544,5236
-1640,5352
-1940,5236
-1640,6132
-1048,4604
-656,5104
-2320,4584
-1548,5612
-868,4972
