ch1,ch2
0,0
-3608,32764
-13960,32764
-24204,32764
-28012,32764
-29460,32764
-29424,32764
-28020,32764
-23144,32764
-20120,32764
-15000,24680
-9324,-16156
-5004,-32768
-3360,-32768
-108,-32768
4732,-32768
8184,-32768
11260,-32768
11260,-32768
11000,-32768
13552,-32768
14716,-32768
14052,-32768
15224,-32768
14076,-32768
11672,-32768
11900,-32768
11896,-32768
13048,-32768
12128,-32768
11252,-32768
11000,-32768
10360,-32768
9836,-32768
8572,-32768
8684,-32768
8692,-32768
7664,-32768
7528,-32768
7284,-32768
6168,-32768
6268,-32768
6004,-32768
4748,-32768
4832,-32768
5224,-32768
4072,-32768
4328,-32768
4708,-32768
4216,-32768
3808,-32768
4116,-32768
4356,-32768
4328,-32768
3564,-32768
3440,-32768
3696,-32768
3700,-32768
3448,-30488
3200,-27916
2964,-26728
3464,-25728
2696,-25192
2936,-23812
2408,-22932
2924,-22940
3172,-20120
2656,-20236
2024,-20256
1912,-19224
2548,-19732
2672,-19080
1808,-20076
1920,-19720
2680,-19044
1052,-17892
2056,-17552
1548,-17416
1180,-16796
1652,-16772
2280,-16652
1656,-16880
1040,-16020
1032,-16540
1676,-15640
616,-15752
776,-14612
1516,-14084
864,-13964
496,-13060
228,-13592
1252,-12572
1396,-12936
744,-12148
408,-11804
372,-12520
488,-12052
764,-11148
-152,-12320
-108,-11152
1048,-10268
-644,-10984
-12,-10476
488,-9860
-232,-8992
-644,-8680
384,-9372
-136,-8860
-1164,-8988
352,-8728
-660,-8716
-1156,-8468
-412,-8984
368,-7832
-1404,-8080
-776,-8084
-260,-7572
-1056,-7400
-1148,-7068
-392,-6792
-656,-7268
-1312,-6532
-620,-6044
-1548,-6044
-1412,-6176
-360,-5652
-1776,-5524
-1184,-6116
-1380,-6252
-1564,-5492
-664,-5396
-1560,-5792
-792,-4716
-1688,-5148
-2332,-5012
-1408,-4240
-1952,-3720
-1308,-4072
-1044,-3612
-2540,-3464
-1544,-3320
-1292,-4636
-1824,-3724
-1564,-2708
-2452,-3484
-1896,-3312
-2196,-3224
-2332,-3080
-1696,-2916
-2328,-2936
-2044,-3192
-1804,-1176
-2040,-1924
-2576,-2184
-2188,-1688
-2208,-2056
-2816,-1652
-1776,-2188
-2316,-1560
-2532,-1164
-2448,-1420
-2076,-2188
-2832,-1296
-2720,-1168
-1920,-1308
-1680,-908
-2800,-744
-2336,-540
-2036,-788
-2800,-668
-2324,636
-2680,256
-2544,-652
-2792,124
-1940,-256
-2184,-1284
-2848,-536
-2416,-516
-2968,232
-2196,1264
-3076,124
-2836,-24
-2200,124
-2588,1252
-2704,1276
-2948,1760
-3064,1416
-2820,892
-2200,1260
-2436,1008
-2152,1644
-3476,1120
-2824,520
-2464,740
-2172,888
-2328,1560
-2820,632
-3100,1140
-2052,892
-2324,2280
-3220,2532
-2336,1676
-2844,1936
-2324,1680
-2180,2556
-2960,2040
-2664,1760
-2700,2716
-2460,1888
-2828,1932
-2320,2036
-2716,2796
-2716,2292
-2448,2164
-2332,3212
-2556,3704
-2964,3180
-2832,3220
-2184,3824
-2556,2792
-2848,3472
-2836,3296
-2844,3204
-2836,2528
-2192,2412
-2464,2580
-2704,2408
-2948,3448
-2320,2804
-2464,2784
-3360,2400
-2308,3192
-2180,3812
-2588,3688
-3072,3968
-2820,4072
-2076,3808
-1936,3692
-2844,4084
-3212,4620
-2444,3200
-2564,3808
-2716,4332
-2308,3560
-2444,2964
-1924,3836
-2460,3740
-2660,4084
-1944,3444
-2948,4452
-2320,5108
-2568,3816
-2920,3680
-2436,4212
-2056,3944
-1920,5000
-2817,3688
-2692,3072
-1900,4328
-2972,4600
-2188,4452
-2720,4380
-2444,5092
-2184,4884
-3068,4200
-1644,4832
-2036,5220
-2556,4964
-2172,5088
-2440,4968
-2028,4832
-2700,4964
-2064,4472
-2800,4208
-1516,4752
-2460,3436
-2208,3704
-2076,5220
-2832,4064
-1568,5104
-2208,5148
-1812,5112
-2692,5604
-2180,4600
-1420,4832
-2048,5516
-2464,5388
-1944,4960
-2720,4600
-2192,5008
-1804,4704
-2192,4072
-2200,4588
-1800,4244
-2320,4588
-1940,5508
-2320,4604
-1692,5116
-796,5220
-1816,5116
-1792,4960
-1928,5884
-1812,5476
-1124,4632
-1180,5632
-2444,5000
-2056,4616
-1696,4972
-1148,4476
-2052,4220
-1644,4328
-1776,4628
-1696,4832
-796,4476
-1276,6164
