ch1,ch2
0,0
-3336,32764
-14344,32764
-23148,32764
-28648,32764
-29316,32764
-29044,32764
-28056,32764
-23300,32764
-19612,32764
-15124,25316
-10096,-17796
-3864,-32768
-4880,-32768
368,-32768
5240,-32768
7404,-32768
11408,-32768
11392,-32768
11128,-32768
12820,-32768
14436,-32768
15380,-32768
14968,-32768
13448,-32768
13028,-32768
12036,-32768
12000,-32768
12796,-32768
11896,-32768
11276,-32768
11276,-32768
9960,-32768
9236,-32768
9184,-32768
8316,-32768
8932,-32768
7520,-32768
7664,-32768
6936,-32768
5872,-32768
6140,-32768
5616,-32768
5992,-32768
4704,-32768
4636,-32768
4504,-32768
4072,-32768
4892,-32768
4332,-32768
3820,-32768
4112,-32768
3944,-32768
4480,-32768
3560,-32768
2916,-32768
4716,-32768
3460,-32768
3312,-30332
3452,-27748
3068,-26476
3308,-26604
2412,-24580
3552,-24292
2964,-22924
2460,-21764
2552,-20596
2404,-20640
2968,-20996
2028,-19104
2300,-20616
1772,-19868
2160,-19304
2016,-19356
2148,-18712
2164,-18580
1524,-18080
1920,-17812
1788,-16404
1764,-16244
1256,-15624
1532,-16648
1052,-16396
1400,-15224
536,-15136
1540,-15368
1252,-14988
880,-14460
1252,-14352
744,-13444
864,-13420
628,-13848
1260,-12692
1124,-11660
-268,-11524
624,-12392
120,-11368
-240,-11424
636,-11788
376,-11268
-160,-11540
1004,-10272
-140,-9572
-520,-10900
252,-9632
-388,-9092
-16,-9340
-392,-9828
-128,-8592
-412,-7560
-1176,-8608
20,-9480
16,-8324
-288,-8216
-656,-7712
-916,-7956
-792,-8196
-788,-7704
-392,-7060
-780,-6796
-652,-6928
-1276,-5864
-1652,-7068
-1028,-5916
-868,-5380
-1304,-7072
-1176,-6132
-156,-4892
-2312,-5248
-1148,-5892
-1296,-5640
-2064,-5256
-1128,-4892
-1804,-5104
-1556,-3704
-1552,-4712
-1440,-4372
-1936,-4116
-1768,-3944
-1276,-3064
-2312,-3996
-1528,-3440
-1812,-3336
-1936,-3728
-1432,-3476
-3068,-3948
-1912,-3200
-1684,-2792
-2312,-3096
-2180,-2324
-2568,-2832
-1932,-2152
-1940,-1432
-2192,-1824
-2580,-2020
-2184,-1392
-1952,-1020
-2308,-1944
-2180,-1384
-2940,-2556
-2444,-2204
