ch1,ch2
0,0
-3856,32764
-14564,32764
-23304,32764
-28828,32764
-28440,32764
-28828,32764
-28164,32764
-23696,32764
-20128,32764
-15492,24812
-8732,-17132
-3980,-32768
-5260,-32768
356,-32768
4964,-32768
8036,-32768
10484,-32768
11492,-32768
11036,-32768
12920,-32768
15216,-32768
14576,-32768
15000,-32768
13408,-32768
12768,-32768
11504,-32768
11780,-32768
13028,-32768
10608,-32768
11236,-32768
10876,-32768
9880,-32768
10336,-32768
9456,-32768
8172,-32768
8092,-32768
7816,-32768
6640,-32768
6380,-32768
6632,-32768
5508,-32768
5904,-32768
5216,-32768
4584,-32768
4988,-32768
4584,-32768
3816,-32768
5400,-32768
3696,-32768
4124,-32768
4984,-32768
3088,-32768
3832,-32768
4080,-32768
3428,-32768
4208,-32768
2804,-32768
3840,-30332
3308,-27756
3188,-26640
3212,-25612
2032,-26248
3048,-24476
3224,-23048
2528,-21892
2532,-20768
1896,-20884
2812,-20368
3300,-19992
1516,-21012
2072,-20244
2408,-19704
2528,-19228
1904,-19348
1276,-18584
1908,-17668
2292,-17048
1892,-16916
1776,-16232
1280,-15876
768,-15980
1292,-16656
1020,-15644
740,-15872
1176,-14748
1672,-15244
776,-14228
736,-13344
1004,-14608
748,-12064
1248,-12428
12,-12700
1152,-12152
240,-11920
244,-11876
764,-12032
252,-11400
-8,-11640
272,-11400
404,-11632
-648,-10144
360,-10656
-20,-10488
-276,-9196
364,-9244
240,-9340
-136,-8472
-912,-8464
-776,-8468
-156,-9364
-268,-9364
-536,-8556
-116,-8580
-1172,-8556
-660,-7936
-904,-8300
-148,-7700
-792,-6432
-1680,-5892
-1056,-7064
-656,-6036
-1308,-6152
-1036,-5764
-248,-6284
-2164,-6148
-924,-5356
-1516,-5892
-1036,-5512
-1552,-6300
-1948,-5768
-900,-5272
-2160,-6300
-1284,-4980
-1392,-3996
-1944,-4612
-764,-4252
-1176,-3696
-2288,-3736
-2688,-4232
-1684,-2948
-1296,-3196
-2064,-4124
-2056,-4732
-1292,-3460
-2032,-3208
-1688,-3688
-1936,-2964
-2056,-2816
-2176,-2036
-2332,-1928
-2044,-1156
-3192,-1404
-1420,-2196
-2440,-2296
-2324,-2156
-1908,-2200
-1796,-1264
-2700,-1052
-2336,-2064
-2020,-2700
-2564,-1800
-2064,-1156
-3352,-1544
-2436,-1308
-1668,-1140
-2544,-788
-2064,-544
-2572,-140
-2668,-780
-2060,-544
-2436,-276
-2788,100
-2320,-412
-2572,-132
-1804,-532
-3232,240
-2828,-136
-1948,-616
-2976,508
-2444,368
-2532,-4
-2424,1268
-2576,1000
-2800,1124
-2976,1304
-2552,1248
-2176,1016
-2708,632
-2452,1388
-2708,1156
-2660,1524
-2836,740
-2796,1516
-3224,-16
-2440,280
-2312,872
-2788,1648
-2208,1148
-2848,2300
-2972,2924
-2568,2152
-2576,3296
-2940,2424
-2056,2916
-2948,2528
-1820,1028
-2180,1680
-3212,2420
-2572,1780
-2848,1420
-2304,1780
-2832,1652
-2068,3056
-2696,2656
-3208,2444
-2548,2796
-2444,3340
-3232,3308
-2148,3068
-2660,2932
-2316,3180
-2712,3592
-2664,2556
-2192,2680
-2192,3484
-2444,2308
-3068,2420
-2452,3060
-2788,2276
-2316,3304
-2328,3944
-3428,3324
-2836,4208
-2308,3308
-2580,3684
-2172,4324
-2464,4448
-2848,3316
-1536,3952
-3044,4720
-3060,3576
-2456,3460
-1800,3452
-2308,4076
-2964,4836
-2824,3448
-2584,3736
-2288,4468
-2464,4480
-2188,3564
-2836,3448
-2588,4332
-2180,4448
-3172,4376
-1684,4472
-1908,3604
-3104,3440
-2332,4080
-2200,4196
-2060,3952
-2696,3824
-1924,4324
-1816,4616
-2328,3844
-1920,4596
-2204,4740
-2168,4740
-2080,5112
-3060,4724
-1552,5740
