ch1,ch2
0,0
-3304,32764
-15468,32764
-23028,32764
-27928,32764
-29468,32764
-29336,32764
-28704,32764
-23532,32764
-19584,32764
-15384,25448
-9872,-16276
-5024,-32768
-4744,-32768
876,-32768
3848,-32768
8192,-32768
12280,-32768
10468,-32768
11536,-32768
13072,-32768
13700,-32768
15968,-32768
15584,-32768
12536,-32768
12312,-32768
12036,-32768
12536,-32768
13180,-32768
11500,-32768
11660,-32768
10096,-32768
10516,-32768
9752,-32768
8296,-32768
8968,-32768
8304,-32768
8052,-32768
7576,-32768
6680,-32768
7012,-32768
6264,-32768
5004,-32768
5360,-32768
4324,-32768
5372,-32768
5348,-32768
4212,-32768
4876,-32768
4592,-32768
4216,-32768
3692,-32768
3696,-32768
4204,-32768
3324,-32768
3056,-32768
3984,-32768
3700,-32544
2668,-30360
3696,-27772
3564,-26224
2672,-27112
3440,-25748
2948,-23568
2804,-23060
2716,-21908
2940,-21020
2172,-20612
2280,-20252
2052,-20872
2800,-20112
2932,-19456
1632,-19080
1928,-18568
2284,-19056
1928,-18436
2152,-18304
2040,-17652
1936,-16620
1784,-17036
1144,-16648
1048,-15260
888,-16264
1528,-16232
1136,-15332
1176,-14436
484,-14468
512,-14700
1896,-13852
756,-13332
636,-13072
1388,-12576
240,-12576
352,-12312
656,-13060
1012,-11644
-12,-12396
536,-11284
504,-11268
156,-11912
652,-10368
-364,-10368
-284,-9856
532,-10760
484,-10132
-132,-9352
-144,-9064
248,-8856
-928,-9864
380,-8072
-1312,-8460
-528,-8328
-156,-8308
-652,-9116
-928,-8452
-264,-7328
-1056,-7560
-924,-7548
-648,-6816
-1000,-7072
-1012,-6040
-1296,-6392
-1144,-6660
-1512,-6028
-512,-5732
-1280,-5916
-752,-5508
-1540,-6660
-1128,-6416
-1180,-4612
-1928,-5132
-1564,-5220
-1288,-5012
-1772,-5248
-1684,-4076
-1184,-3476
-1508,-3956
-1788,-4120
-2176,-4208
-2580,-3464
-1052,-3732
-2156,-3848
-1804,-2836
-1924,-4496
-1932,-3212
-1020,-3080
-2460,-3480
-1556,-2720
-1568,-2572
-3216,-2828
-2152,-2820
-1440,-1660
-1684,-1428
-3320,-2184
-2544,-2056
-2200,-920
-2204,-2316
-1676,-1672
-2568,-2664
-2060,-2184
-2300,-1436
-2832,-1816
-2284,-1292
-2324,-1044
-2180,-1912
-1812,-1148
-3092,-388
-2308,-140
-3088,-232
-2820,-404
-2320,-16
-2320,-756
-1948,-16
-3352,-24
-2552,-540
-1532,-612
-3184,-100
-3212,-12
-1668,-904
-2196,760
-2960,380
-2704,-380
-1940,1264
-2932,1000
-2824,508
-2316,1648
-3076,2156
-3220,908
-2296,1144
-2308,1148
-3076,1128
-3208,1252
-2464,624
-1776,1560
-3444,900
-2924,892
-2540,748
-2672,1256
-2840,2420
-3084,2688
-2716,1532
-2072,2672
-2716,2456
-2276,1648
-1556,2552
-2792,2180
-2568,2040
-2316,2572
