ch1,ch2
0,0
-3716,32764
-14608,32764
-23312,32764
-28528,32764
-29172,32764
-29676,32764
-27796,32764
-23268,32764
-20112,32764
-14616,25584
-10372,-16520
-4764,-32768
-4512,-32768
628,-32768
5364,-32768
8568,-32768
11104,-32768
11236,-32768
11768,-32768
12780,-32768
14968,-32768
15464,-32768
14460,-32768
13296,-32768
12680,-32768
12272,-32768
11616,-32768
12524,-32768
11632,-32768
10884,-32768
10852,-32768
10468,-32768
9336,-32768
8544,-32768
9076,-32768
7396,-32768
8436,-32768
8172,-32768
6764,-32768
6256,-32768
6156,-32768
5872,-32768
4752,-32768
4964,-32768
5356,-32768
4096,-32768
4744,-32768
4964,-32768
4856,-32768
4208,-32768
3996,-32768
3940,-32768
3832,-32768
3228,-32768
3704,-32768
3960,-32768
3188,-32644
3716,-29304
2796,-28132
3168,-26600
2684,-25996
3216,-25980
3836,-24456
2824,-23428
2272,-22024
2656,-20756
3040,-20356
2280,-20636
2456,-20368
2400,-20104
1900,-19740
2548,-19180
1632,-19568
2144,-19336
2424,-17668
1132,-16912
1396,-17276
1916,-17524
1948,-16664
748,-15620
1764,-16528
1532,-15900
1652,-16620
628,-15348
636,-14988
1508,-15132
1032,-14084
996,-14724
1028,-13192
224,-13432
1032,-11756
772,-12812
500,-12936
1032,-11280
372,-12300
-140,-12168
1012,-11528
-116,-10868
492,-11276
-16,-11916
-4,-10392
244,-10400
4,-11164
640,-8336
-644,-8844
-648,-8980
-272,-8972
-764,-8980
484,-7696
-516,-8096
-924,-9620
-140,-8684
-540,-7556
-748,-8600
-520,-8216
-920,-7052
-1648,-6804
-672,-7184
-412,-7692
-908,-7188
-1180,-6768
-1256,-6292
-416,-6392
-996,-6812
-520,-5656
-1932,-6016
-1288,-6284
-908,-5252
-2040,-5396
-532,-5272
-2208,-5764
-1672,-5780
-1936,-4120
-1176,-4612
-1388,-4116
-2544,-3864
-1044,-4376
-1552,-3592
-1824,-4208
-1384,-4336
-1312,-3356
-1684,-3092
-2328,-3476
-1380,-3732
-2800,-3104
-2080,-2720
-1804,-3468
-2580,-2712
-2044,-2796
-1908,-2836
-1400,-2324
-2028,-1804
-2840,-2048
-1904,-2056
-2208,-1892
-2184,-1432
-2320,-612
-2416,-1684
-2972,-1812
-2316,-1916
-1904,-1804
-2792,-2164
-2540,-1540
-2576,-788
-2020,-872
-2448,-156
-2804,-520
-2556,-900
-2312,412
-2696,484
-2948,-416
-1948,-20
-2408,-260
-2712,100
-2196,-540
-2444,-124
-2312,236
-2568,-672
-3212,-524
-2056,756
-3196,228
-3080,748
-1940,624
-1800,1180
-2700,1532
-3232,540
-2196,1272
-2276,2044
-3084,404
-2808,1120
-2808,1248
-2796,100
-3356,504
-2316,1508
-2816,884
-1664,1252
-2788,1892
-3212,1768
-2964,2156
-2708,2668
-1692,2420
-3444,2076
-2448,2416
-1900,2300
-3080,2168
-2820,2528
-2336,2036
-2844,1000
-2720,1948
-2328,2408
-2276,1428
-2208,2184
-3232,3204
-2976,1772
-2080,2796
-2312,3708
-2332,2568
-3172,3184
-3192,3092
-2440,2792
-2292,3324
-2580,3096
-2812,2692
-2464,2952
-2720,2456
-2316,3432
-2696,2412
-3080,2792
-1808,3580
-2336,3692
-3356,3452
-2836,3092
-2296,3972
-2968,3576
-2712,4196
-3092,4716
-2324,3828
-1796,3820
-2544,3964
-2564,3452
-2580,3476
-2312,3936
-2336,3808
-2312,3196
-2456,3436
-2428,4192
-2560,3428
-2196,3452
-2464,3960
-3084,4628
-2828,4588
-2328,3936
-1940,4200
-2952,5100
-2592,3948
-1808,3976
-2588,4252
-1804,4340
-2968,4084
-1812,3068
-2672,4104
-2716,4320
-2040,3580
-2332,5608
-2540,4848
-2160,4724
-2192,4984
-2056,4988
-2584,4596
-2052,4728
-2316,4724
-2332,4476
-1796,4968
-2544,4628
-1792,4224
-2052,3960
-2464,4860
-1772,4332
-2464,5100
-2584,5276
-2032,5472
-2972,5360
-1280,4724
-2336,4976
-2452,5220
-1160,4848
-2308,5616
-2180,4980
-2168,3936
-1508,3988
-1812,4212
-2700,5108
-1688,4076
-1560,4724
-2588,5520
-1824,4596
-1036,4628
-2548,5632
-1424,5472
-2576,5020
-2032,5748
-1024,5892
-2024,5260
-2168,4604
-1548,5476
-1816,4860
-1680,4848
-1804,4756
-1288,4748
-1796,5148
-1824,4464
-1680,5012
-1296,5396
-1056,4452
-1684,5728
-2072,4732
-1912,4584
-1284,5788
-1932,4752
-876,5344
-2036,6412
-1928,4236
-1052,4856
-1428,5476
-1160,4712
-1556,5116
-1820,5008
-2196,4364
-24,4468
-1544,4964
-1796,5216
-1036,6136
-1696,5372
-1420,4836
-1056,5400
-644,5492
-1808,4964
-1820,4876
-1308,5492
-372,4992
-1520,4508
-1312,6016
-2184,4464
-1276,3568
-232,5228
-1428,5012
-1400,5264
-1004,5240
-876,5236
-1148,5744
-752,5644
-1544,6240
-1544,5748
-1056,4452
-912,4972
-924,4836
-1040,4980
-1552,4348
-648,3860
-1004,5500
-1696,4736
-400,4584
-516,5768
-500,5112
-896,5100
-1280,4888
-1312,5884
-1020,5996
-20,4192
-892,4844
-668,5268
-740,4604
-1284,4576
-904,4840
-928,4588
-1176,4872
-764,4964
-776,4604
-388,4756
-1052,4836
-900,5092
-272,5628
-924,5356
-740,4852
-868,4716
-408,4728
-28,4876
-1012,4844
-1124,5100
-1820,4468
-416,3996
0,4748
-1172,3324
-412,4708
-144,4984
-628,5232
-264,5356
-1160,4840
-652,4736
28,5348
-516,4720
-532,4888
-1048,4856
-1000,4096
100,4728
-148,4252
-244,4844
128,4472
-1300,4344
-384,4212
-536,4456
-140,4600
-884,4092
-128,4704
-120,4964
-744,4232
-128,5360
-540,4232
-400,4964
-412,5788
-400,4984
-272,4452
-508,4076
-16,4092
-264,3556
-520,3964
24,3944
108,4324
-156,4328
124,4340
-660,4068
-388,3344
-364,4092
-152,4728
-388,4592
-4,3860
20,4252
132,4476
648,4504
-1288,3588
-128,3428
892,4212
-540,4192
-148,4196
356,4500
-268,4380
352,4240
-280,4468
-544,4196
-160,4832
608,4728
-156,4476
608,3480
-236,4068
-928,3604
632,3356
-156,4248
-32,3052
-272,3952
140,4232
760,3836
248,3428
648,3424
-16,3980
-264,4484
664,4232
-536,4708
-372,3316
760,4220
-784,3196
500,3176
252,3552
612,3580
-784,3596
-16,2916
752,3824
408,3568
-12,3684
-392,4336
1400,4220
376,3696
-496,3560
124,4616
768,3428
156,3324
-20,4088
404,3836
-136,2688
504,3296
756,3840
-144,3044
500,2916
144,3312
232,3044
372,3228
120,3592
120,4212
512,3728
400,3708
236,3316
252,3196
-240,3308
360,2784
-120,2784
268,3056
356,3200
500,3336
1148,2556
248,3080
380,3296
748,3948
-496,3320
888,3436
744,2404
-12,3172
992,3324
-388,3096
-108,2844
1276,2936
-28,3452
252,2164
1008,3228
-784,2404
744,2424
752,3312
652,2532
888,3832
0,3316
-252,2556
760,2936
488,3552
496,3196
668,2660
356,2816
492,2936
764,3192
248,2584
244,2296
608,3324
224,2796
628,2332
636,2552
504,2924
352,1892
896,2528
-116,2684
488,3180
1032,3324
528,1760
996,3348
-156,3080
864,2168
1128,2296
-276,1940
992,2532
244,1512
880,2444
508,2548
112,1908
644,2784
996,2544
616,2540
376,2428
1004,2536
-404,3064
1012,3084
276,3684
116,3060
1248,2028
-12,2144
1048,1268
364,1820
1388,2660
12,1812
248,1788
1124,2288
752,3176
228,2172
376,1388
1176,2540
276,2416
244,1916
992,2420
756,2276
492,1428
1000,1908
412,1416
756,1380
224,1940
352,1156
1012,2168
1016,2404
888,2272
264,1660
736,1636
1416,2932
228,2548
1008,2332
124,2692
248,2708
524,2044
144,2144
1248,1260
768,2444
356,1776
496,736
1264,2292
224,752
888,1004
1888,2040
-280,2020
880,1524
1012,2168
480,2400
892,1124
512,1892
356,1380
1012,1636
624,1788
608,772
876,760
896,1268
492,1640
784,2044
500,1652
864,1640
276,2036
624,1768
876,2028
752,2192
636,2404
1032,2164
380,1392
396,2400
1136,1012
504,1132
868,1924
492,1388
380,1400
360,492
1660,1292
104,1684
1408,1136
508,1024
228,1384
740,1652
528,1376
1248,1140
1256,1504
108,1140
120,740
1120,1020
260,2020
372,1796
1120,1388
644,492
124,620
888,740
632,1016
1020,884
760,1048
616,1164
1160,1788
-672,1256
924,864
1120,2016
224,1256
1008,888
1032,876
752,1148
1020,780
1144,1300
488,1052
1260,868
788,1180
-268,240
1000,1436
904,1560
620,540
352,1284
1248,868
500,1536
752,1136
652,-160
508,992
364,916
1504,1008
480,1172
-156,484
1644,492
632,1044
756,612
504,1128
500,868
876,1252
736,776
408,1012
892,904
492,1384
896,1144
1032,892
644,384
1124,880
872,764
132,-372
636,508
1136,504
1040,892
1268,540
744,752
-156,796
1148,400
244,888
892,1004
876,1144
636,284
624,1512
356,1264
740,108
992,1132
748,116
760,236
140,488
360,228
1004,392
520,1000
632,1140
872,768
620,372
1268,1432
-136,1016
868,-8
1004,404
120,232
996,484
612,1020
364,504
868,352
228,620
612,376
736,372
1032,-32
756,-128
876,760
924,868
112,488
616,748
652,868
1376,1140
352,628
-24,488
1248,-404
492,-120
368,508
760,608
252,620
636,-416
748,876
632,1132
884,-364
756,608
248,380
772,364
1248,280
364,252
636,620
620,368
608,-32
608,-252
-156,-792
876,244
1528,752
-140,-496
752,100
1044,1280
356,788
144,112
540,380
1264,500
1148,668
-100,244
1140,868
388,96
632,-524
1260,28
-532,252
764,484
520,368
1288,-156
1000,124
-132,-660
1144,616
116,372
368,-140
1392,372
508,116
636,888
1512,396
992,-416
-4,636
124,532
240,96
756,-356
1264,-144
240,-128
492,-540
612,372
360,-100
752,764
736,620
1016,-32
624,-28
232,496
380,488
1248,-148
-20,280
620,-524
